,verdict,text,part
0,SH-20-04-27126-218,לפני:				כבוד השופט גיא אבנון,בית משפט השלום בנתניה
1,SH-20-04-27126-218,באמצעות תביעות מרכז – שלוחת נתניה,בית משפט השלום בנתניה
12,SH-20-04-27126-218,"ב""כ המאשימה עמד על התיקון המשמעותי בכתב האישום, הרשעותיו הקודמות של הנאשם, ועתירתה המקלה של המאשימה ברכיב העיקרי, אותה ביקש לאזן בקביעת מאסר על תנאי ממושך, ובהתאם פסילת רישיון נהיגה בפועל ועל-תנאי וקנס הולם.","בשם הנאשם:			עו""ד שי לוי"
13,SH-20-04-27126-218,"ב""כ הנאשם מצדו ביקש להיזהר מפני פגיעה קשה יתר על המידה ברישיון הנהיגה של הנאשם, אשר דרוש לו לצרכי פרנסה, בפרט כשמדובר במי שמנסה לשקם את חייו.","בשם הנאשם:			עו""ד שי לוי"
14,SH-20-04-27126-218,"הנאשם בדברו האחרון הביע צער על מעשיו, וחשש מפני פגיעה באפשרויות התעסוקה והפרנסה כתוצאה מפסילת רישיון הנהיגה.","בשם הנאשם:			עו""ד שי לוי"
15,SH-20-04-27126-218,"לאחר שנתתי דעתי לטיעוני הצדדים, מצאתי כי הסדר הטיעון ראוי, מתיישב היטב עם נסיבות ביצוע העבירות בהן הורשע הנאשם, עם נסיבותיו האישיות, עם המלצת שירות המבחן, ואף עולה בקנה אחד עם הענישה הנוהגת, לבטח לאחר תיקון כתב האישום לקולה.","בשם הנאשם:			עו""ד שי לוי"
16,SH-20-04-27126-218,"אשר למחלוקת בין הצדדים, מצאתי ליתן לנאשם הזדמנות לשקם את חייו, ועל רקע זה החלטתי להקל במידת מה במשך הפסילה בפועל.","בשם הנאשם:			עו""ד שי לוי"
17,SH-20-04-27126-218,בצד זאת הנני מזהיר את הנאשם כי לא לעולם חוסן.,"בשם הנאשם:			עו""ד שי לוי"
18,SH-20-04-27126-218,"ככל שישוב לסורו ויחזור לעולם העברייני, קל וחומר לביצוע עבירות על פקודת הסמים, ספק רב אם ימצא פעם נוספת אוזן קשבת והקלה בעונשו.","בשם הנאשם:			עו""ד שי לוי"
19,SH-20-04-27126-218,אני גוזר על הנאשם את העונשים הבאים:,"בשם הנאשם:			עו""ד שי לוי"
20,SH-20-04-27126-218,6 חודשי מאסר אותם לא ירצה הנאשם אלא אם יעבור תוך שלוש שנים עבירה על פקודת הסמים מסוג פשע.,"בשם הנאשם:			עו""ד שי לוי"
21,SH-20-04-27126-218,3 חודשי מאסר אותם לא ירצה הנאשם אלא אם יעבור תוך שלוש שנים עבירה על פקודת הסמים מסוג עוון.,"בשם הנאשם:			עו""ד שי לוי"
22,SH-20-04-27126-218,"הנאשם יבצע 300 שעות שירות לתועלת הציבור (של""צ) בעמותת ""חכמה ודעת לב חם"" בחדרה, בהתאם לאמור בתסקיר המבחן.","בשם הנאשם:			עו""ד שי לוי"
23,SH-20-04-27126-218,"על הנאשם להשלים את ביצוע השל""צ תוך שנה מהיום.","בשם הנאשם:			עו""ד שי לוי"
24,SH-20-04-27126-218,"הוסבר לנאשם כי אם לא יעשה כן, עשוי בית המשפט לגזור את דינו מחדש.","בשם הנאשם:			עו""ד שי לוי"
25,SH-20-04-27126-218,"קנס בסך 1,000 ₪ או 10 ימי מאסר תמורתו.","בשם הנאשם:			עו""ד שי לוי"
26,SH-20-04-27126-218,"הקנס ישולם ב-2 תשלומים חודשיים שווים ורצופים, החל מיום 10.6.22 ובכל 10 בחודש שלאחריו.","בשם הנאשם:			עו""ד שי לוי"
27,SH-20-04-27126-218,"לא ישולם איזה מהתשלומים במועדו, תעמוד יתרת הקנס לפירעון מידי.","בשם הנאשם:			עו""ד שי לוי"
28,SH-20-04-27126-218,אני פוסל את הנאשם מלקבל ומלהחזיק רישיון נהיגה לתקופה של 30 ימים.,"בשם הנאשם:			עו""ד שי לוי"
29,SH-20-04-27126-218,הנאשם יפקיד את רישיון הנהיגה שלו במזכירות בית המשפט.,"בשם הנאשם:			עו""ד שי לוי"
30,SH-20-04-27126-218,"הנאשם יפסל מלקבל ומלהחזיק רישיון נהיגה לתקופה של 4 חודשים, ואולם הנאשם לא יישא בעונש זה אלא אם יעבור תוך 3 שנים עבירה על פקודת הסמים מסוג עוון או פשע או נהיגה בפסילה.","בשם הנאשם:			עו""ד שי לוי"
31,SH-20-04-27126-218,סמים וכלים יושמדו.,"בשם הנאשם:			עו""ד שי לוי"
32,SH-20-04-27126-218,טלפונים ככל שנתפסו – יושבו לנאשם.,"בשם הנאשם:			עו""ד שי לוי"
33,SH-20-04-27126-218,54678313זכות ערעור לבית המשפט המחוזי תוך 45 ימים מהיום.,"בשם הנאשם:			עו""ד שי לוי"
34,SH-20-04-27126-218,"ניתן היום,  י""ג ניסן תשפ""ב, 14 אפריל 2022, במעמד הצדדים.","בשם הנאשם:			עו""ד שי לוי"
35,SH-20-04-27126-218,המזכירות תעביר עותק מגזר הדין לשירות המבחן.,"בשם הנאשם:			עו""ד שי לוי"
