text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION
"הנאשם נכנס לתוך קלנדיה, הלך לביתו של האחר ולאחר כ- 15 דקות חזר לכוחות הביטחון ומסר לידיהם את הנשק.",,,,,[],,,,,,,,,
במעשיו המתוארים לעיל החזיק הנאשם בנשק בלא רשות על פי דין להחזקתו.,,,,,,,,,,,,,,
"לבקשת ב""כ הנאשם ובהסכמת ב""כ המאשימה נשלח הנאשם לשירות המבחן ולממונה על עבודות שירות, על אף שהמאשימה הדגישה כי עמדתה היא למאסר ממש.",,,,,,,,,,,,,,
"בהתאם לחוות הדעת הממונה, הנאשם נמצא מתאים לריצוי מאסרו בעבודות שירות.",,,,,,,,,,,,,,
"מתסקיר שירות המבחן עולה כי הנאשם בן 23, נשוי ואב לילד  בן חודש וחצי.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
הנאשם השלים תשע שנות לימוד ובגיל 16 החל לעבוד בעבודות בתחום האלומיניום כדי לסייע לפרנסת משפחתו.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
קצין המבחן התרשם כי הנאשם הרגיש מסופק מעבודתו.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"הנאשם בן למשפחה המונה זוג הורים ושבעה אחים ואחיות בגילאים שנה וחצי עד 23, כאשר הנאשם הוא הבן הבכור.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
אביו בן 49 עובד במסעדה ואמו בת 43 ועקרת בית.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
הנאשם תיאר לפני קצין המבחן את מצבו הקשה מאחר ששוהה בתנאים מגבילים מזה כארבעה חודשים.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"הוא שיתף את קצין המבחן כי הוא מרגיש אי נוחות רבה מכך שהוא תלוי כספית בהוריו מאחר שנמצא במעצר בית מלא בביתם, ויש לו הוצאות מרובות, בין היתר, סביב צרכי ילדו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
הנאשם שלל שימוש כלשהו בסמים ובאלכוהול באופן בעייתי או התמכרותי.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
כמו כן ציין כי לא היה מעורב בפעילות פלילית כלשהי בעבר ולא חבר לחברה שולית ובעייתית.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
ביחס לביצוע העבירה קצין המבחן התרשם כי הנאשם לקח אחריות חלקית באשר למעשיו.,,,,,,,,,,,,,,
הוא התקשה להכיר בהשלכות החמורות העלולות להיות בעקבותיהם.,,,,,,,,,,,,,,
"הנאשם הסביר כי חברו ""ביקש ממנו טובה"", והוא נענה לכך מבלי לחשוב על תוצאות המעשה והשלכותיו.",,,,,,,,,,,,,,
"לדבריו, הוא לא היה מודע להתנהלותו הבעייתית של אותו חבר ומסר כי פעל מתוך תמימות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"קצין המבחן העריך כי הרקע לביצוע העבירה הוא קושיו של הנאשם לעיתים לעמוד ולהתמודד מול לחצים סביבתיים, העלולים לגרור אותו למעשים בעייתיים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"יחד עם זאת, הוא התרשם כי מדובר באדם אינטליגנט, בעל כושר ביטוי, אשר ניהל אורח חיים יציב ותקין בתחום התעסוקתי והמשפחתי טרם מעצרו ואינו בעל דפוסי התנהגות עבריינים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"אשר להערכת הסיכון לעבריינות והסיכוי לשיקום, קצין המבחן התרשם כי הנאשם נטל אחריות חלקית לביצוע העבירה.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"לצד זאת, מדובר בצעיר ללא עבר פלילי, אשר גילה לאורך השנים יציבות משפחתית, התמדה תעסוקתית, ללא התנהגויות חריגות ובעייתיות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"עוד התרשם כי ההליך הפלילי והשלכותיו היוו גורם מרתיע עבורו, והנאשם ביטא חרדה מהאפשרות שייכנס למאסר, ונראה כי מעצרו, התנאים המגבילים בהם היה מצוי והשלכותיהם גרמו לו להפנים את גבולות המותר והאסור והפחיתו באופן משמעותי את הסיכון להישנות התנהגות עוברת חוק בעתיד.",,"['1 : כן', '2 : לא', '3 : לא', '4 : כן', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"לפיכך, קצין המבחן המליץ להשית על הנאשם עונש מוחשי ומציב גבולות של מאסר אשר ירוצה בעבודות שירות ומאסר מותנה.",,,,,,,,,,,,,,
"ב""כ המאשימה טענו כי הערך המוגן בבסיס עבירת החזקת הנשק הוא הגנה על שלום הציבור וביטחונו, על שלטון החוק ועל הסדר הציבורי.",,,,,,,,,,,,,,
"ב""כ המאשימה הדגישו כי פוטנציאל הנזק מהנשק הוא קטלני ויש להרתיע את היחיד והרבים מהחזקתו שלא כדין.",,,,,,,,,,,,,,
"אשר לנסיבות ביצוע העבירה, ב""כ המאשימה הדגישו את העובדה כי הנשק לא הוחזק על ידי הנאשם למטרות הגנה עצמית, אלא הנאשם הסכים לשמור את הנשק עבור אדם אחר, ביודעו כי הוא מתבקש להסתירו מכוחות הביטחון למשך תקופה ממושכת יחסית ולאחר מכן העבירו לאחר.",,,,,,[],,,,,,,,
לזכותו של הנאשם הם ציינו כי הוא מסר את הנשק לידי כוחות הביטחון על פי דרישתם.,,,,,,,,,,,,,,
"לפיכך, ב""כ המאשימה עתרו למתחם עונש הולם שנע בין שנתיים מאסר ועד לארבע שנות מאסר.",,,,,,,,,,,,,,
"ביחס לעונש המתאים, סברו ב""כ המאשימה כי על בית המשפט לגזור על הנאשם עונש מאסר בתחתית המתחם, וזאת בהתחשב מחד בכך שהנאשם התקשה להבין את חומרת מעשיו ונטל אחריות חלקית למעשיו, ומאידך הנאשם צעיר, ללא עבר פלילי אשר הודה בהזדמנות הראשונה במעשיו.",,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,['כן']
"ב""כ הנאשם טען כי במקרה הנדון נסיבות ביצוע העבירה הן ייחודיות מאחר שהנאשם עצמו מסר לכוחות הביטחון את הנשק בהתאם לבקשתם ומנע בכך סיכון רב בכניסתם לקלנדיה.",,,,,,,,,,,,,,
"כמו כן, הנאשם לא תכנן את מעשיו מראש, הוא החזיק בנשק לימים ספורים והנשק לא שייך לו.",,,,,,[],,,,,,,,
"ב""כ הנאשם ביקש לאמץ את המלצת שירות המבחן, וטען כי הפסיקה אליה הפנו ב""כ המאשימה מתייחסת למקרים חמורים יותר ואינה מתאימה לנדון בענייננו.",,,,,,,,,,,,,,
"ב""כ הנאשם ביקש להתחשב בגילו הצעיר של הנאשם, בהודאתו, בחיסכון בזמן שיפוטי יקר ובכך שהוא נעדר עבר פלילי.",,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,['כן']
"נוכח כל אלה, ביקש ב""כ הנאשם להשית על הנאשם עונש של מאסר שירוצה בעבודות שירות.",,,,,,,,,,,,,,
"הנאשם בדברו האחרון התחרט על מעשיו ומסר כי לדידו הוא קיבל את עונשו, בכך ששהה במעצר בית מלא מזה מספר חודשים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"הנאשם ביקש מבית המשפט שלא להשית עליו עונש של מאסר, אלא בעבודות שירות.",,,,,,,,,,,,,,
"על פי סעיף 40 ב' לחוק העונשין העיקרון המנחה בענישה הוא הלימה, קרי: יחס הולם בין חומרת מעשה העבירה ונסיבותיו ומידת אשמו של הנאשם, לבין סוג ומידת העונש המוטל עליו.",,,,,,,,,,,,,,
"בקביעת מתחם העונש ההולם, על בית המשפט להתחשב בערך החברתי שנפגע, במידת הפגיעה בו, במדיניות הענישה הנהוגה ובנסיבות הקשורות לביצוע העבירה.",,,,,,,,,,,,,,
"במסגרת הנסיבות הקשורות בביצוע העבירה (סעיף 40 ט' לחוק), יש לתת את הדעת לשיקולים הבאים: לפי עובדות כתב האישום, הנאשם החזיק את הנשק ברשותו למשך עשרה ימים שלא למטרות הגנה עצמית, אלא ביודעין כי כוחות הביטחון מבצעים חיפוש בקלנדיה לאתר את נשקו של אשהב.",,,,,,,,,,,,,,
"כמו-כן, במקרה דנן מדובר בנשק המאפשר ירי לטווח רחוק המיועד לפי טיבו ומהותו לפגיעה בנפש או לגרימת נזק היקפי גדול בגוף האדם,  והוא בעל פוטנציאל קטילה של ממש.",,,,,,,,,,['ירי'],,,,
"בכך, חמור ענינו של הנאשם ממקרה של אחזקת נשק בעל קנה קצר, מסוג אקדח או באחזקה של חלקי נשק.",,,,['נשק עם מחסנית בהכנס'],,,,,['תת מקלע (תת-מקלע)'],,,,,
"מאידך, אציין כי נתתי דעתי גם לטענת ב""כ הנאשם לפיה הנאשם שיתף פעולה עם רשויות אכיפת החוק, במובן זה שכאשר כוחות הביטחון הגיעו לביתו, הנאשם לא הסתיר מכוחות הביטחון כי העביר את הנשק לאחר ומסר לכוחות הביטחון את הנשק במחסום קלנדיה.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : כן', '6 : כן', '7 : כן', '8 : לא', '9 : כן', '10 : לא', '11 : לא']",,,[],,,,,,,,,
"עם זאת, אעיר כי חשיפת הנשק לפני כוחות הביטחון לא היתה פרי יוזמתו המלאה של הנאשם, אלא נבעה בעיקר מכך שכוחות הביטחון  התייצבו בפתח ביתו של הנאשם ולאחר מכן לקחו אותו למחסום קלנדיה.",,,,,,,,,,,,,,
"כמו כן הנאשם לא פעל מיזמתו אלא נגרר אחרי אשהב לאחר שזה פנה אליו, הנשק אינו שייך לו ובסופו של יום לא נגרם נזק ממשי בגין העבירה בה הורשע הנאשם.",,,,,,,,,,[],,,,
כך שמידת הפגיעה בערך המוגן מובילה למסקנה כי הפגיעה במקרה הנדון אינה במדרג גבוה.,,,,,,,,,,,,,,
"במאמר מוסגר יוער כי יש קושי של ממש באיתור גזרי דין בנסיבות ביצוע עבירה  הדומים לענייננו על מנת לשקף את הענישה הנוהגת, שכן נדירים הם המקרים בהם הנאשם השיב לכוחות הביטחון את הנשק ומקרים בהם הנאשם לא נטל חלק עיקרי בביצוע העבירה, על כן הפסיקה אותה הגישו ב""כ המאשימה אינה דומה לנדון בענייננו, בו נסיבות ביצוע העבירה במדרג נמוך יותר.",,,,,,,,,,,,,,
"בהתאם לתיקון 113 לחוק העונשין (סעיף 40 יג'), סבורני כי מתחם העונש ההולם נע בין 8 חודשי מאסר לבין 18 חודשי מאסר.",,,,,,,,,,,,,,
סוגיית הסטייה מן מהמתחם,,,,,,,,,,,,,,
"למרות המלצת שירות המבחן להטלת עונש של מאסר בעבודות שירות, נוכח חומרת העבירה, הסיכון לפגיעה בשלמות גופו של אדם והצורך לתת דגש על הרתעת הרבים, וכן בהתחשב באמור בתסקיר לפיו קצין המבחן מסר כי הנאשם נטל אחריות חלקית למעשיו והתקשה להכיר בהשלכות החמורות של מעשיו, ובהתחשב בעובדה כי שירות המבחן אף לא בא בהמלצה טיפולית בעניינו של הנאשם, לא מצאתי לאמץ את המלצת שירות המבחן ולחרוג ממתחם העונש ההולם מטעמי שיקום, אלא התחשבתי בהמלצת שירות המבחן בקביעת העונש המתאים.",,,,,,,,,,,,,,
"כמו כן, לא מצאתי לחרוג לחומרה מטעמי הגנה על הציבור, בהתחשב באורח החיים הנורמטיבי אותו מנהל הנאשם והיעדר עבר פלילי.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"בגזירת העונש המתאים לנאשם, בגדרי מתחם העונש ההולם, יש להתחשב בנסיבות שאינן קשורות בביצוע העבירה (סעיף 40 יא').",,,,,,,,,,,,,,
"במסגרת זו מן הראוי לתת את הדעת לנסיבות הבאות: הנאשם בן 23, מנהל אורח חיים נורמטיבי, נשוי ואב לילד בן כחודשיים, והוא נעדר עבר פלילי.",,"['1 : כן', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"הנאשם לקח אחריות למעשיו בהזדמנות ראשונה וחסך זמן שיפוטי יקר וכן שהה במעצר בית מלא במשך למעלה מחמישה חודשים, מאידך שקלתי את האמור בתסקיר שירות המבחן לעניין הקושי של הנאשם להכיר בהשלכות החמורות העלולות להיות בעקבות מעשיו ואף נטל אחריות חלקית למעשיו.",,,,,,,,,,,,,,
"באיזון בין השיקולים השונים, סבורני כי יש לגזור על הנאשם עונש מאסר ברף הנמוך של המתחם.",,,,,,,,,,,,,,
לאור כל האמור לעיל החלטתי להטיל על הנאשם את העונשים כדלהלן:,,,,,,,,,,,,,,
6 חודשי מאסר.,,,,,,,,,,,,,,
הנאשם לא ירצה עונש זה אלא אם יעבור בתוך שנתיים מיום שחרורו על העבירה בה הורשע.,,,,,,,,,,,,,,
הנשק יושמד או יחולט בהתאם להחלטת הרשם.,,,,,,,,,,,,,,
זכות ערעור לבית המשפט המחוזי בירושלים תוך 45 יום מהיום.,,,,,,,,,,,,,,
"54678313ניתן היום,  ל' תשרי תשע""ז, 01 נובמבר 2016, בנוכחות ב""כ הצדדים והנאשם.",,,,,,,,,,,,,,
חנה מרים לומפ 54678313,,,,,,,,,,,,,,
