,verdict,text,part
0,SH-20-02-49042-925,לפני:				כבוד השופט גיא אבנון,בית משפט השלום בנתניה
1,SH-20-02-49042-925,באמצעות תביעות מרכז – שלוחת נתניה,בית משפט השלום בנתניה
12,SH-20-02-49042-925,"כך נעשה, ובתמורה שולם לנאשמת סך של 2,981 ₪, אשר הופקד בשלוש פעימות באמצעות שירות העברת כספים בדואר ישראל (""מזומן בזמן"").","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
13,SH-20-02-49042-925,הכספים נפדו בהמשך על ידי הנאשמת.,"בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
14,SH-20-02-49042-925,"אירוע שני: בהמשך למתואר לעיל, ביקש האחר מהנאשמת להיפגש עמו פעם נוספת.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
15,SH-20-02-49042-925,זו הפעם נפגשו השניים בכפר קאסם.,"בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
16,SH-20-02-49042-925,"בפגישה זו נכח אדם נוסף שזהותו אינה ידועה למאשימה, אשר העביר לנאשמת מעטפה ובה שתי אריזות, האחת הכילה סם מסוכן מסוג חשיש במשקל 38.17 גרם, והשנייה הכילה סם מסוכן מסוג קנבוס במשקל 3.48 גרם (להלן: הסמים המסוכנים).","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
17,SH-20-02-49042-925,"הנאשמת חשדה שהמעטפה הכילה סמים, אך נמנעה מלפתוח אותה.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
18,SH-20-02-49042-925,"גם פעם נשאה את המעטפה בין חפציה האישיים במשך שבוע תמים, עד אשר הגיעה לכלא ביום 12.2.20, אז פגשה את האסיר בחדר המיועד למפגש בין עורכי דין ואסירים, ומסרה לו את הסמים המסוכנים.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
19,SH-20-02-49042-925,"שירות המבחן ערך בעניינה של הנאשמת שני תסקירים מעמיקים ומפורטים, אשר בסופם מצא להמליץ על הסתפקות בעונש מוחשי בדמות מאסר לריצוי בעבודות שירות, בצד צו מבחן ומאסר על-תנאי, כאלו שיהיה בהם כדי להציב גבול ברור להתנהגותה של הנאשמת, יסייעו לה להפנים את חומרת מעשיה, ובצד זאת יאפשרו לה להמשיך בתפקודה האישי והתעסוקתי, לטפל בעצמה ולהשתקם.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
20,SH-20-02-49042-925,"הנאשמת בת 33, עובדת כמטפלת בילדים בגיל הרך ומתגוררת עם הוריה.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
21,SH-20-02-49042-925,"היא סיימה 12 שנות לימוד ותעודת בגרות בהצטיינות, שירתה שירות צבאי מלא שאף אותו השלימה בהצטיינות, ושירתה גם במילואים.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
22,SH-20-02-49042-925,"לאחר שחרורה מהצבא עבדה כשנה במחלקת הביטחון בנתב""ג לצד לימודיה לתואר ראשון במשפטים.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
23,SH-20-02-49042-925,"בהמשך, החלה לעבוד כסייעת בגן ילדים פרטי במשך כ-8 שנים רצופות, במהלכן סיימה התמחות בלשכה המשפטית במשרד הרווחה, ועברה את מבחני לשכת עורכי הדין.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
24,SH-20-02-49042-925,"לאחר מכן למדה לתואר שני בתחום החינוך לגיל הרך, ועבדה כגננת במשרד החינוך משך כ-4 שנים.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
25,SH-20-02-49042-925,"לדבריה, חשה תחושת סיפוק ושליחות בעבודתה עם ילדים, ושואפת להמשיך ולעשות כן.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
26,SH-20-02-49042-925,"היא הציגה מכתבי הערכה רבים מן ההורים כמו גם ממעסיקיה, אשר היללו את מסירותה, השקעתה, אמינותה, החום והאהבה שהרעיפה על הילדים, מוסר עבודתה הגבוה ואחריותה כלפי מקום העבודה.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
27,SH-20-02-49042-925,"בשנת 2019 החלה בלימודי השלמה לתעודת הוראה, אך בעקבות מעצרה ומצבה הנפשי הקשה באותה עת, הפסיקה את לימודיה.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
28,SH-20-02-49042-925,"בהתאם הופסקה עבודתה כגננת במשרד החינוך, ומשכך החלה לעבוד כמטפלת פרטית.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
29,SH-20-02-49042-925,מאז שחרורה ממעצר החלה בטיפול פסיכולוגי בו היא מתמידה גם כיום.,"בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
30,SH-20-02-49042-925,"בהיותה בת 23 נישאה, ובחלוף כ-4 שנים התגרשה בהליך גירושים מטלטל.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
31,SH-20-02-49042-925,"בהמשך, ניהלה במהלך כשנתיים קשר זוגי מורכב, העומד לטענתה ברקע למעשיה מושא כתב האישום.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
32,SH-20-02-49042-925,"הנאשמת הסבירה כי תוך ניסיון לרצות את בן זוגה ולסייע לו, התקשתה להציב לו גבולות, לוותה כספים רבים מבנקים ומגורמים שוליים, ונכנסה לחובות משל עצמה כדי לעזור לו לשלם את חובותיו הרבים.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
33,SH-20-02-49042-925,"לדבריה, אותם גורמים שוליים מהם לוותה כספים, הפעילו עליה לחצים ואיימו לפגוע בה ובבני משפחתה.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
34,SH-20-02-49042-925,"היא תיארה תחושות מצוקה ופחד, וחששה לדווח למשטרה או לשתף את קרוביה על מנת שלא לערב אותם בבעיותיה.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
35,SH-20-02-49042-925,"הנאשמת טענה כי מי מאותם גורמים שוליים הם שפנו אליה ודרשו כי תעביר סמים לכלא, תוך ניצול תפקידה כעורכת דין.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
36,SH-20-02-49042-925,"לדבריה, היא נענתה לדרישותיהם מתוך תחושות לחץ ומצוקה.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
37,SH-20-02-49042-925,"היא הוסיפה כי לא הכירה את האסיר לו העבירה את הסמים, וכי קיבלה תמורה כספית הגם שלא ידעה מראש כי כך יהיה.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
38,SH-20-02-49042-925,"הנאשמת הביעה חרטה עמוקה ובושה רבה על מעשיה ושימושה לרעה בעיסוקה כעורכת דין לצורך ביצוע העבירה, והדגישה עד כמה המעשים הללו חריגים בנוף חייה.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
39,SH-20-02-49042-925,"לטענתה, פעלה מתוך חוסר אונים, מבלי להבין את השלכות מעשיה.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
40,SH-20-02-49042-925,היא סיפרה כי בדיעבד היא מבינה כיום שהיה עליה לפנות למשטרה מרגע שהחלו הלחצים.,"בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
41,SH-20-02-49042-925,"היא הקפיאה ביוזמתה את חברותה בלשכת עורכי הדין, וכאמור החלה בטיפול פסיכולוגי בו היא משתתפת במהלך כשנתיים.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
42,SH-20-02-49042-925,"כן שללה שימוש בסמים, ובדיקות שתן שמסרה איששו זאת.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
43,SH-20-02-49042-925,קצינת המבחן סברה כי הטיפול הפסיכולוגי בו משתתפת הנאשמת מיטיב עמה ומסייע בהתמודדותה עם מצבי קושי ודחק.,"בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
44,SH-20-02-49042-925,"להתרשמותה, קיים פער בולט בין יכולותיה האינטלקטואליות של הנאשמת ותפקודה החיצוני, לבין יכולותיה הרגשיות, קשייה בקבלת החלטות במצבי דחק, דפוסי הריצוי הבולטים ביחסיה הבינאישיים, וחוסר יכולתה להציב גבולות במצבים מורכבים.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
45,SH-20-02-49042-925,"בצד זאת עמדה על היעדרם של דפוסים שוליים או התמכרותיים מושרשים, וניכר כי ההליך הפלילי נחווה כגורם מרתיע, וכטריגר לקבלת טיפול.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
46,SH-20-02-49042-925,סופו של תסקיר ניתנה המלצה כמפורט לעיל.,"בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
47,SH-20-02-49042-925,הממונה על עבודות שירות מצא את הנאשמת מתאימה לריצוי עונשה בדרך זו.,"בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
48,SH-20-02-49042-925,ראיות וטיעוני הצדדים לעונש,"בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
49,SH-20-02-49042-925,"בפתח הדיון הגישה ההגנה מקבץ ראיות לעונש: תארים והכשרה מקצועית (ענ/1), מסמכים רפואיים ונפשיים (ענ/2, ענ/7), מכתבי המלצה מאת מעסיקיה (ענ/3), עשרות מכתבי הוקרה והערכה מהורים שהנאשמת שימשה גננת לילדיהם (ענ/4), מכתב מאת הפסיכולוגית המטפלת בנאשמת מזה כשנתיים (ענ/5) וריכוז תיקי חוב בהוצאה לפועל (ענ/6).","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
50,SH-20-02-49042-925,"לטובת הנאשמת העידה גב' קארין שלי גלאור, עורכת דין במקצועה, אשר הכירה את הנאשמת לפני כשנתיים וחצי, כגננת בגן של בנה.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
51,SH-20-02-49042-925,"היא תיארה בפירוט את מסירותה של הנאשמת לילדי הגן, את התנהגותה לאחר האירוע, כיצד המשיכה להקדיש מזמנה ומרצה לילדים גם במצב המורכב בו הייתה נתונה.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
52,SH-20-02-49042-925,כן סיפרה כי ההורים כולם התגייסו לתמוך בה.,"בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
53,SH-20-02-49042-925,"בהמשך הפכו השתיים לחברות, והנאשמת מטפלת באופן פרטי בילדיה.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
54,SH-20-02-49042-925,"היא שיתפה בתחושותיה בדבר השינוי שעברה הנאשמת במהלך השנתיים שחלפו, וסיפרה כי היא נותנת בה אמון מלא ורואה בה דמות חינוכית וערכית.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
55,SH-20-02-49042-925,"עוד העידה גב' ליאת לאה חזק, אמו של אחד הילדים שהתחנך אצל הנאשמת, תחילה בגן בו עבדה, ובהמשך במשפחתון שפתחה באופן פרטי.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
56,SH-20-02-49042-925,"היא מצאה להדגיש כי הנאשמת רואה בילדים את מרכז עולמה, מטפלת בהם בהשקעה ובמסירות אין קץ.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
57,SH-20-02-49042-925,"ב""כ המאשימה סקר את הערכים המוגנים אשר נפגעו כתוצאה ממעשיה של הנאשמת.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
58,SH-20-02-49042-925,"לשיטתו, עוצמת הפגיעה גבוהה, בעיקר בהתחשב בכך שזו ביצעה את מעשיה תוך ניצול לרעה של עיסוקה כעורכת דין, באופן שחתר תחת החיסיון שהעניק המחוקק למערכת יחסי העבודה בין עורך דין ולקוח, כמו גם בכבוד המקצוע ובאמון הציבור, אשר רואה בעורכי הדין כקציני בית המשפט, נציגים נאמנים של החוק.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
59,SH-20-02-49042-925,"מעשים מסוג זה פוגעים במישרין בציבור עורכי הדין, הן בכבודם והן בהחמרת תנאי הפיקוח על עורכי הדין הישרים וההגונים המבצעים את עבודתם ומגיעים לבתי הסוהר כדי לבקר את לקוחותיהם.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
60,SH-20-02-49042-925,"כן עמד על כמות הסמים והעובדה כי אלו סופקו לאסיר בבית הסוהר, באופן שמאפשר להמשיך להפיץ את נגע הסמים בין כותלי הכלא, תוך פגיעה בריאותית בצרכנים, ופגיעה קשה בסדר הציבורי.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
61,SH-20-02-49042-925,"ב""כ המאשימה הדגיש את נסיבות ביצוע המעשים, מפגשיה של הנאשמת עם האחר בשתי הזדמנויות נפרדות במקומות שונים, נשיאת החפץ האסור ולאחר מכן הסמים המסוכנים במשך שבוע בכל פעם, תיאום הפגישות בכלא, התגמול הכספי לו זכתה בגין מעשיה.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
62,SH-20-02-49042-925,"הוא סקר את מדיניות הענישה הנוהגת, ועתר לקבוע מתחם עונש הולם בין 30-15 חודשי מאסר בפועל.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
63,SH-20-02-49042-925,"בגזירת העונש בתוך המתחם ביקש שלא לחרוג לקולה מן המתחם, ובכל מקרה לגזור עונש מאסר בפועל, מאחורי סורג ובריח.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
64,SH-20-02-49042-925,"עוד ביקש לחייב את הנאשמת במאסר על תנאי, קנס ופסילת רישיון הנהיגה בפועל כמי שהובילה את הסמים במכוניתה.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
65,SH-20-02-49042-925,"הוא מצא להרחיב באשר לנסיבותיה של הנאשמת, אשר עמדו לטענתו ברקע לביצוע העבירות.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
66,SH-20-02-49042-925,"ראשית, מדובר במי שלא עבדה כעורכת דין, קל וחומר לא עסקה בתחום הפלילי, כשאת זמנה ומרצה מצאה להקדיש לטיפול בילדים.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
67,SH-20-02-49042-925,"בכך ביקש להבחין בינה לבין מדיניות הענישה המחמירה המתבטאת בפסקי הדין שהגישה המאשימה, בהם דובר בעורכי דין שעיסוקם בתחום הפלילי, אשר נתפסו מחזיקים סמים או מספקים סמים בין כותלי בתי הסוהר, כאלו המכירים היטב את האיסורים, את הנהלים, את המצב הביטחוני בבתי הסוהר ואת מעמדם של לקוחותיהם.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
68,SH-20-02-49042-925,"הוא תיאר את מצבה הקשה של הנאשמת, והתמודדותה עם מערכת יחסים זוגית בעייתית.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
69,SH-20-02-49042-925,"היא ניסתה לסייע לבן זוגה, אשר מצדו סיבך אותה בנטילת הלוואות מגורמים שוליים.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
70,SH-20-02-49042-925,"הללו איימו במשך חודשים ארוכים עליה ועל בני משפחתה, טרדו את מנוחתה, דרשו ממנה כספים, עד כי החלה לעבוד בשלוש עבודות במקביל על מנת להחזיר את החוב, ונאלצה לחוות חרדות ומצוקה נפשית.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
71,SH-20-02-49042-925,"לשיטתו, העובדה כי הנאשמת לא בדקה את תוכן המעטפות שהעבירה ועצמה את עיניה, מבססת יסוד נפשי בעל חומרה פחותה מזה של כוונה, באופן המצדיק להקל בעונשה.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
72,SH-20-02-49042-925,"זה המקום לציין כי בתום הדיון ניתנה להגנה ארכה להגשת פסקי דין לתמיכה בטענה כי נסיבות של עצימת עיניים מצדיקות הקלה בעונש, אלא שכאלו לא הוגשו.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
73,SH-20-02-49042-925,"ב""כ הנאשמת ביקש להתחשב בסוג הסם הקל שסיפקה הנאשמת (שוב, בשונה מהמקרים שהציגה המאשימה), בכמות שאינה גבוהה, ועתר לקבוע מתחם ענישה בין 18-6 חודשי מאסר.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
74,SH-20-02-49042-925,בגזירת העונש בתוך המתחם ביקש להתחשב בשיתוף הפעולה המלא של הנאשמת עם גורמי האכיפה למן הרגע הראשון.,"בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
75,SH-20-02-49042-925,"היא זו שסיפרה לחוקריה ביוזמתה על האירוע הראשון, שכלל לא היה ידוע להם, נתון המלמד על לקיחת אחריות מלאה, וביטוי לחרטתה העמוקה.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
76,SH-20-02-49042-925,"הנאשמת עשתה כל שלאל ידה כדי לחזור למוטב, והתסקירים מעידים על כך.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
77,SH-20-02-49042-925,"המסוכנות הנשקפת ממנה נמוכה; התנאים המגבילים בהם שוחררה הוקלו מעת לעת, עד כי כיום אינה נתונה תחת מגבלות כלשהן; היא טופלה ומטופלת בטיפול פסיכיאטרי, תרופתי, פסיכולוגי, מלווה על ידי שירות המבחן – תחילה בפיקוח מעצרים ובהמשך כחלק מהתיק העיקרי.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
78,SH-20-02-49042-925,"הוא ביקש להתחשב בכך שלמרות מגבלות הקורונה ביצעה באופן פרטי ועצמאי כל מאמץ להסתייע בגורמי הטיפול, זאת במקביל להסדרת חובותיה.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
79,SH-20-02-49042-925,"הנאשמת הקפיאה ביוזמתה את רישיון עריכת דין, כשממילא אינה רואה בעיסוק זה את ייעודה בחיים, להבדיל מתחום החינוך והטיפול בגיל הרך, אשר ממלא אותה סיפוק ומהווה את כל עולמה.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
80,SH-20-02-49042-925,"הוא ביקש לתת משקל נכבד להתרשמות שירות המבחן, לסבירות הגבוהה כי התהליך השיקומי יצלח, במידה המצדיקה לחרוג לקולה מהמתחם.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
81,SH-20-02-49042-925,"לדבריו, הנאשמת ויתרה על בקשתה לבטל את הרשעתה, מתוך הכרה כי אין זה ראוי בנסיבות המעשים בהם הורשעה.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
82,SH-20-02-49042-925,"בצד זאת, ביקש בכל לשון של בקשה להימנע מגזירת עונש מאסר ממש, ועתר לאמץ את המלצת שירות המבחן.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
83,SH-20-02-49042-925,הנאשמת דיברה בהתרגשות ובדמעות.,"בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
84,SH-20-02-49042-925,היא סיפרה על התאהבותה בגבר שלימים התגלה כמכור להימורים.,"בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
85,SH-20-02-49042-925,"רצונה לעזור לו סיבך אותה כלכלית, הן עם הבנקים והן עם השוק האפור.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
86,SH-20-02-49042-925,"על מנת לשלם את חובותיה עבדה בשלוש עבודות ביום, שבעה ימים בשבוע, קיבלה הלוואה מסבהּ, ואף ועברה להתגורר עמו על מנת לחסוך בהוצאות מחיה.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
87,SH-20-02-49042-925,"היא תיארה תקופות של חרדה מפני אנשים שדפקו על דלת ביתה, צרחו, קיללו: ""אמרו שיגרמו לי לשלשל את הכסף, חייתי בפחד...","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
88,SH-20-02-49042-925,"היא סיפרה כי לא ביצעה את מעשיה כדי לקבל תמורה כספית, וכי זו נתקבלה רק לאחר הביקור בבית הסוהר.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
89,SH-20-02-49042-925,הנאשמת הביעה צער וחרטה על מעשיה.,"בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
90,SH-20-02-49042-925,"לדבריה, יום המעצר הביא מזור והקלה נפשית, אז סיפרה לחוקריה את כל שעבר עליה, הודתה במיוחס לה וניסתה לעזור לעבודת המשטרה ככל שיכלה.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
91,SH-20-02-49042-925,"היא שיתפה כי היא מטופלת מזה זמן ממושך, הדגישה את נכונותה לרצות את עונשה בעבודות שירות, והתחננה בדמעות להימנע מלגזור עליה עונש מאסר ממש, על מנת שתוכל להמשיך בשיקום חייה.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
92,SH-20-02-49042-925,"שלישית, הנאשמת ניצלה את מעמדה כעורכת דין על מנת לאפשר את ביצוע המעשים.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
93,SH-20-02-49042-925,"היא הגיעה לבית הסוהר באמתלה של ביקור לקוח, זאת הגם שכלל לא הכירה את האסיר, ולא ייצגה אותו מעולם.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
94,SH-20-02-49042-925,"בכך פגעה הנאשמת הן במעמדם הציבורי של עורכי הדין – ""officers of court"", והן במערכת היחסים בין ציבור עורכי הדין הנורמטיבי, הנותן שירות ללקוחותיו – לבין שירות בתי הסוהר.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
95,SH-20-02-49042-925,"מעשים מסוג אלו שביצעה הנאשמת גורמים לשב""ס להקשות על עורכי הדין המגיעים לבתי הסוהר כעניין של יום ביומו כדי לבצע את עבודתם, ולהצר את צעדיהם, תוך פגיעה ישירה לא רק בעורכי הדין וברווחתם, אלא גם בציבור העצורים והאסירים הזכאים לקבל שירות מעורכי הדין.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
96,SH-20-02-49042-925,"רביעית, הנאשמת פעלה בשתי הזדמנויות שונות, בפעם הראשונה קיבלה לידיה חפץ אסור מסוכן שתוכנו אינו ידוע, ואילו בפעם השנייה קיבלה לחזקתה סמים מסוכנים משני סוגים.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
97,SH-20-02-49042-925,"חמישית, מעשיה של הנאשמת בוצעו באופן מתוכנן, ובשני האירועים הייתה לה שהות ארוכה להימלך בדעתה ולהימנע מהשלמת ביצוע העבירות.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
98,SH-20-02-49042-925,"הנאשמת מצאה עצמה מחזיקה בחפצים האסורים והמסוכנים, לרבות הסמים, בין חפציה האישיים, נשאה אותם בכל מקום בו שהתה במהלך שבוע תמים (פעמיים), והמתינה לשעת כושר בה תוכל למסור אותם ליעדם.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
99,SH-20-02-49042-925,"שישית, ההגנה טענה כי הנאשמת התייסרה בגין מעשיה, והתלבטה רבות האם לבצעם.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
100,SH-20-02-49042-925,המסקנה הנלמדת מאופן ביצוע המעשים – שונה תכלית השינוי.,"בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
101,SH-20-02-49042-925,"יושם אל לב כי ממועד האירוע הראשון, שמיד לאחריו זכתה בתמורה כספית משמעותית – סך של קרוב ל-3,000 ש""ח, חלפו מספר שבועות.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
