text,PUNISHMENT,GENERAL_CIRCUM,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION,CIRCUM_OFFENSE,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
בשנת 2019 הורשע הנאשם בגניבה ונדון למאסר מותנה.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,
מכלול שיקולי הענישה פועל לחובת הנאשם:,,,,,,,,,,,,,,,,,
"מדובר במי שלחובתו מספר הרשעות קודמות, בעבירות ממין העניין, ובכלל זה ניסיון סחר בנשק והחזקת נשק, בגינן נדון למספר מאסרים, אשר לא הביאו להרתעתו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"מעבר לכך, הנאשם לא קיבל אחריות למעשיו, וכאשר העיד ניכר בו, כי אינו מודע כלל לחומרת מעשיו ופוטנציאל הנזק הטמון בהם, וכי הוא חדור תחושת קרבנות, כאילו נעשה לו עוול בעצם מעצרו והאשמתו בעבירות בהן הורשע.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"אדגיש, כי לא אחמיר עם הנאשם בשל עצם כפירתו, שהרי זו זכות השמורה לכל נאשם.",,,,,,,,,,,,,,,,,
"עם זאת, נאשם אשר מקבל אחריות למעשיו, ומבין את הפסול שבהם, זכאי להקלה, ממנה לא יהנה הנאשם.",,,,,,,,,,,,,,,,,
"בצד זאת אציין, כי ההליך נוהל באופן ממוקד וענייני, ועיקר חומר הראיות הוגש בהסכמה.",,,,,,,,,,,,,,,,,
"מנגד, הבאתי בחשבון, לחובת המאשימה, כי חרף העובדה שניתן צו חיפוש על פיו היה צריך לבצע את החיפוש בנוכחות שני עדים, החיפוש בוצע ללא עדים.",,,,,,,,,,,,,,,,,
"כפי שפרטתי בהכרעת הדין, משקלו של פגם זה אינו גבוה, שכן מהראיות עלה שהחיפוש בוצע באמצעות כלב, שנוכחות של אנשים נוספים מלבד הכלבנית הפריעה לו - אך עדיין, ניתן לצפות כי המשטרה תפעל על פי צו שיפוטי, שניתן לבקשתה.",,,,,,,,,,,,,,,,,
"לאור זאת, אשית על הנאשם עונש במרכזו של המתחם אותו קבעתי.",,,,,,,,,,,,,,,,,
"שלוש שנים מאסר בפועל, אשר ימנה מיום מעצרו של הנאשם, 6.5.24, גם אם רישומי שב""ס יראו אחרת.",,,,,,,,,,,,,,,['הנאשם קיבל 3 שנות מאסר בפועל'],[],[]
"שמונה חודשי מאסר בו לא יישא, אלא אם יעבור תוך שלוש שנים מיום שחרורו מהמאסר עבירת נשק שהיא פשע.",,,,,,,,,,,,,,,['הנאשם קיבל 8 חודשי מאסר בפועל'],['הנאשם קיבל 8 חודשי מאסר על תנאי'],[]
"ארבעה חודשי מאסר בו לא יישא, אלא אם יעבור תוך שלוש שנים מיום שחרורו מהמאסר עבירת נשק שהיא עוון.",,,,,,,,,,,,,,,[],['הנאשם קיבל 4 חודשי מאסר על תנאי'],[]
"המוצגים יחולטו והמאשימה רשאית להשמידם, על פי החלטת פרקליט המחוז, לאחר שפסק הדין יעשה חלוט.",,,,,,,,,,,,,,,,,
54678313זכות ערעור לבית המשפט המחוזי בירושלים תוך 45 יום.,,,,,,,,,,,,,,,,,
"ניתן היום,  ט' ניסן תשפ""ה, 07 אפריל 2025, בנוכחות הצדדים.",,,,,,,,,,,,,,,,,
