text,reject,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CONFESSION,CONFESSION_LVL2,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"בסיומו של התסקיר, בא שירות המבחן בהמלצה להשית על הנאשם ""עונש מוחשי"" בדמות מאסר בפועל בדרך של עבודות שירות, בצד מאסר מותנה.",,,,,,,,,,,,,,,,,,,,,
"התביעה הדגישה הפוטנציאל הקטלני הקיים בעבירות של אחזקת נשק חם, שלא כדין, הן בפן הביטחוני; הן בפן הפלילי; והן כלפי בני הבית, לרבות הילדים הקטינים שהתגוררו עם הנאשם (אחיו ואחיותיו).",,,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"התביעה הדגישה, כי הנאשם החזיק תת מקלע, נשק ארוך, המסוגל לירות מספר רב של כדורים למרחק רב יחסית, ולו פוטנציאל קטלני משמעותי.",,,,,,,['תת-מקלע (סוג הנשק)'],,,,,,,[],,,,,,,
"התביעה ביקשה שלא ליחס משקל גבוה לעובדה, כי האקדח שנרכש על ידי הנאשם, לא הוחזק במצב כשיר לירי.",,,,,,,['אקדח'],,,,,,,,[],[],,,,,
"התביעה הדגישה, כי המדובר בעבירות מתוכננות וכי הנאשם שילם ממון רב לצורך השגת כלי הנשק.",,,,,,,,,,,,,,,,[],,,,,
"התביעה הדגישה את מדיניות ההחמרה בענישה, בתקופה האחרונה, בנוגע לעבירות דנן ועותרת למתחם ענישה כולל שינוע בין שנתיים ומחצה ועד ארבע שנות מאסר בגין העבירות שעבר הנאשם, בצירוף מאסר מותנה מרתיע וקנס משמעותי.",,,,,,,,,,,,,,,,,,,[],['הנאשם קיבל 12 חודשי מאסר על תנאי'],[]
"בענינו של הנאשם דנן, בהיעדר עבר פלילי מחד, ומאידך – כאשר הנאשם נמנע מליטול אחריות מלאה למעשיו ושירות המבחן לא בא בהמלצה טיפולית – עותרת התביעה למקם את ענשו בשליש",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,['לא'],,,,,,,,,,,,,,,,
"ההגנה הדגישה, כי הנאשם הודה בעבירות עוד בחקירתו במשטרה ואף הודה בבית המשפט כבר בהליך הדיון המוקדם.",,,,,['כן'],,,,,,,,,,,,,,,,
"ההגנה טענה, כי הנאשם מנהל חיים נורמטיביים וכי מטרת אחזקת הנשק, במקרה דנן – לא היתה פלילית או כנגד בטחון המדינה.",,,,,,,,,,,,,,,,,,,,,
"בדברו האחרון, מסר הנאשם, כי עשה את טעות חייו; כי כעת אינו עובד וכי הוא רווק.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,['לא'],,,,,,,,,,,,,,,,
"אחזקת נשק ותחמושת על ידי מי שלא נבדק, לא נמצא מתאים ולא הוכשר לכך, בתנאים שאינם מבטיחים בידודו של הנשק מהסביבה (כיום מי שמחזיק נשק ברשיון נדרש לאחסנו בכספת מאובטחת, מאחורי שני מנעולים), עלולה להביא לסיכון שלום הציבור, גם אם אין ראיות שהוחזק לצורך פעילות שלילית, כמפורט לעיל.",,,,,,,,,,,,,,,,,,,,,
"זאת, כדי לבלום את שרשרת העבירות בשלב ראשוני.",,,,,,,,,,,,,,,,,,,,,
"ערעור המדינה התקבל בהסכמת הצדדים, תוך שהוחמרו עונשי המאסר שהושתו על המשיבים ל-26 ו-31 חדשי מאסר בפועל (בהתאמה).",,,,,,,,,,,,,,,,,,,,,
"בפסק הדין ע.פ. 4945/13 מדינת ישראל נ' סלימאן (פורסם במאגרים), אושר מתחם ענישה שינוע בין שנה ועד 3 שנות מאסר, בגין אחזקת כלי נשק  בודד מסוג קרל גוסטב וכן מחסנית וכדורים.",,,,,,,['תת מקלע מאולתר (קרל גוסטב)'],,,,,,,,,,,,[],[],[]
"אף באותו מקרה, המדובר היה בצעיר, אשר ניהל אורח חיים נורמטיבי, כולל לימודים אקדמאיים בפקולטה לאדריכלות, ללא עבר פלילי.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"גם באותו מקרה, המליץ שירות המבחן להסתפק בעונש מאסר בפועל לריצוי בדרך של עבודות שירות.",,,,,,,,,,,,,,,,,,,,,
"בית המשפט העליון ציין, כי ראוי לקבוע ענשים מרתיעים בגין עבירות אלה והעמיד המתחם שם בין 12 ועד 36 חדשי מאסר בפועל.",,,,,,,,,,,,,,,,,,,[],[],[]
"מבחינת מדרג החומרה, הוצבה אחזקה של אקדח במדרג בינוני ואילו רובה סער או תת מקלע – ברמה אחת לפני הרמה החמורה ביותר.",,,,,,,"['רובה סער או תת מקלע (M16, M4, AK-47, וכדומה)']",,,,,,,,,,,,,,
"לנוכח פסיקה שנזכרה באותה הנחיה, הונחתה התביעה הכללית לטעון למתחם שינוע בין שנה ועד 3 שנות מאסר בפועל בגין עבירה של אחזקת נשק מסוג אקדח; שנתיים עד 4 שנות מאסר בפועל בגין אחזקת רובה או תת מקלע.",,,,,,,,,,,,,,,,,,,[],[],[]
"אשר לעבירה של אחזקת תחמושת – הונחתה התביעה לטעון למתחם שיחל ב-6 חדשי מאסר בפועל, אשר יכול שירוצו בדרך של עבודות שירות.",,,,,,,,,,,,,,,,,,,[],[],[]
"בית המשפט אינו מוצא לייחס משקל משמעותי לעובדה, כי אחד מכלי הנשק - האקדח שנתפס ברשות הנאשם – לא הכיל נוקר ומשכך לא היה תקין לירי.",,,,,,,['אקדח'],,,,,,,[],['נשק עם מחסנית בהכנס'],[],,,,,
"כאמור לעיל, הורשע הנאשם בעבירה של נסיון לאחזקת נשק חם בכל הנוגע לכלי נשק זה, כלומר, מבחינת המחשבה הפלילית אצל הנאשם, סבר כי מדובר בכלי נשק תקין.",,,,,,,,,,,,,,,,,,,,,
"בכך, חיווה המחוקק דעתו, כי אין מקום להקלה בעונש, כאשר העבירה לא הושלמה, כשמבחינת הנאשם עצמו, הכוונה היתה לעבור עבירה מושלמת.",,,,,,,,,,,,,,,,,,,,,
בכל הנוגע לאחזקת נשק אוטומטי מסוג רובה סער או תת מקלע – בין שנה ועד שלוש שנות מאסר בפועל;,,,,,,,,,,,,,,,,,,,['הנאשם קיבל 1-3 שנות מאסר בפועל'],[],[]
"בכל הנוגע לאחזקת נשק קצר מסוג אקדח, כאשר אינו תקין לירי – בין 10 חדשים ועד שנתיים מאסר בפועל;",,,,,,,,,,,,,,,,,,,[],[],[]
בכל הנוגע לאחזקת תחמושת בכמות של קליעים בודדים או עשרות קליעים – עד 6 חדשי מאסר בפועל.,,,,,,,,,,,,,,,,,,,[],[],[]
"אשר למתחם הענישה הכולל בתיק זה, תוך חפיפה מסוימת בין המתחמים שנקבעו, יועמד בין 18 ועד 42 חדשי מאסר בפועל.",,,,,,,,,,,,,,,,,,,['הנאשם קיבל 18 עד 42 חודשי מאסר בפועל'],[],[]
"הנאשם רכש שני כלי נשק שונים, בצירוף תחמושת, לאחר תכנון מראש ותוך השקעת טבין ותקילין בסכום משמעותי.",,,,,,,,,,,,,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,,,
"עובדות אלה מצביעות, כפי שהתרשם גם שירות המבחן, על נחישות של ממש להשגת מטרתו.",,,,,,,,,,,,,,,,,,,,,
"הנימוקים שמסר הנאשם בפני שירות המבחן לאחזקת הנשק (""גבריותו ודימויו העצמי""), ספק אם  יש ליתן להם משקל, באשר אינם נתמכים בראיות כלשהן.",,,,,,,,,,,,,,,,,,,,,
"יתר על כן, קשה להסביר רכישה של שני כלי נשק, אחד מהם – נשק ארוך אוטומטי, רק לצורך זה.",,,,,,,,,,,,,,,['נשק עם מחסנית בהכנס'],,,,,,
"ואף שירות המבחן למבוגרים התרשם, כי הנאשם נוקט בעמדה מצמצמת ומטשטשת ונמנע מלשתף במחשבותיו ובשיקוליו.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"הנשק שהוחזק הוסלק בבית הנאשם ומעצם האופן בו הוחזק – האחד בתוך גרב, והשני – בתוך מגבת, חבואים בארון, ניתן ללמוד על העובדה, כי הנאשם היה מודע לכך, שהמדובר באחזקת נשק בלתי חוקית וכי אחזקתו לא היתה תמימה.",,,,,,,,,,,"['בבית', 'מוסלק - מוסתר']",,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",[],,,,,
"נשק המוחזק לצורך הוכחת ה""גבריות"" והדימוי העצמי, כפי דברי הנאשם, היה מוצג לראווה ולא מוסלק וחבוי.",,,,,,,,,,,,,,,,,,,,,
"מנגד, הודה הנאשם בעבירות בהזדמנות הראשונה;",,,,,['לא'],,,,,,,,,,,,,,,,
לא הוצגו ראיות או אינדיקציות על כוונה לשימוש שלילי בנשק שנתפס;,,,,,,,,,,,,,,,,,,,,,
"עד למעצרו, לא נתפס הנאשם מסתבך הנאשם עם החוק –",,,,,,,,,,,,,,,,,,,,,
"ההיפך הוא הנכון, כאמור, מסר הנאשם לעורכת התסקיר, כי גדל במשפחה נורמטיבית, ברווחה יחסית  ואין עולה מדבריו, כי נקלע לעבור העבירות כתוצאה מצורך או מהתמכרות כשלהי.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"הוסף לאמור, נמנע הנאשם מליטול אחריות מלאה למעשיו או לשתף את שירות המבחן במחשבותיו או בשיקוליו, ועל כן גם - נמנע שירות המבחן מלבוא בהמלצה טיפולית.",,,,,['לא'],,,,,,,,,,,,,,,,
"באיזון בין השיקולים השונים לחומרה ולקולא, בהיעדר הסתבכויות קודמות, מוצא בית המשפט להשית על הנאשם עונש מאסר בפועל על הצד הנמוך של מתחם הענישה, אם גם לא ברף הנמוך ממש, וזאת לנוכח מאפיני החומרה שפורטו לעיל.",,,,,,,,,,,,,,,,,,,,,
"לנוכח כך שהמדובר בעבירות במסגרתן הועבר סכום כסף ממשי לרכישת כלי הנשק, ולדברי הנאשם בשירות המבחן, אף התכוון לסחור בכלי הנשק בעתיד – מוצא בית המשפט להשית עיצום כספי, שלא יפחת משווי כלי הנשק כפי רכישתם כמפורט בכתב האישום.",,,,,,,,,,,,,,,,,,,,,
משלא הובררו עד תום מניעי הנאשם להחזקת שני כלי הנשק והתחמושת – מוצא בית המשפט גם להשית מאסר מותנה מרתיע.,,,,,,,,,,,,,,,,,,,,,
"20 חדשי מאסר בפועל, בניכוי ימי מעצרו, ככל שקיימים, בהתאם לרישומי שב""ס;",,,,,,,,,,,,,,,,,,,[],[],[]
"12 חדשי מאסר על תנאי למשך 3 שנים מיום שחרורו של הנאשם ממאסרו, שהנאשם לא יעבור עבירה בניגוד לחוק העונשין, תשל""ז-1977, פרק ח' סימן א', למעט עבירה בניגוד לסעיף 144(א) סיפא לאותו חוק;",,,,,,,,,,,,,,,,,,,[],['12 חודשי מאסר על תנאי'],[]
"7 חדשי מאסר על תנאי למשך 3 שנים מיום שחרורו של הנאשם ממאסרו, שהנאשם לא יעבור עבירה בניגוד לחוק העונשין, תשל""ז-1977, סעיף 144(א) סיפא או סעיף 186;",,,,,,,,,,,,,,,,,,,[],['7 חודשי מאסר על תנאי'],[]
"קנס בסך 12,000 ₪ או 75 ימי מאסר תמורתו.",,,,,,,,,,,,,,,,,,,[],[],"['12,000 ₪']"
