text,reject,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CONFESSION,CONFESSION_LVL2,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"שירות המבחן ציין, כי לנאשם קושי לכלכל את צעדיו באופן עצמאי ולשקול את משמעותם והשלכותיהם, עליו ועל סביבתו.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"מנגד, התרשם שירות המבחן, כי ההליכים שננקטו נגד הנאשם – מהווים, בעבורו, גורם מרתיע.",,,,,,,,,,,,,,,,,,,,,
"שירות המבחן התרשם, כי הנאשם מסתיר מידע הקשור לנסיבות מעורבותו בעבירות וכי אינו בשל, בעיתוי הנוכחי, להתערבות טיפולית.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,,,
"על אף המפורט לעיל, בא שירות המבחן בהמלצה להטיל על הנאשם עונש מאסר לריצוי בדרך של עבודות שירות ובנוסף, צו מבחן.",,,,,,,,,,,,,,,,,,,,,
"המאשימה טענה, הנאשם החזיק באקדח, מחסנית כדורים ואף רימון הלם בביתו, בית מגורים, דבר המהווה סכנה כלפיי דרי הבית ואורחיו.",,,,,,,['רימון הלם/גז'],,,,,,,[],"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",[],,,,,
"עוד ביקשה המאשימה לייחס משנה חומרה לנסיון הנאשם לשבש החקירה, כאשר הנאשם אינו בוחל לסכן אחרים, על מנת למלט עצמו מן הדין.",,,,,,,,,,,,,,,,,,,,,
"לנוכח סוג כלי הנשק במקרה דנן, אופן החזקתם והנסיון לשיבוש מהלכי משפט – עתרה המאשימה למתחם ענישה, שינוע בין 24 ועד 42 חודשי  מאסר בפועל, לצד עונש מאסר מותנה מרתיע וקנס משמעותי.",,,,,,,,,,,,,,,,,,,[],['הנאשם קיבל 12 חודשי מאסר על תנאי'],[]
"בנוגע לרכיב המאסר בפועל – בהיעדר הרשעות קודמות, עתרה המאשימה להשית על הנאשם עונש בחלקו התחתון של המתחם.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"ההגנה ביקשה ליתן משקל משמעותי לנסיבותיו האישיות של הנאשם ולעובדה, שזוהי הסתבכותו הראשונה.",,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"לטענת ההגנה, נטל הנאשם אחריות על מעשיו והוא מבין את חומרתם.",,,,,['לא'],,,,,,,,,,,,,,,,
"ההגנה עותרת לאמץ המלצת שירות המבחן, במסגרת מתחם ענישה אשר נע בין עונש צופה פני עתיד ועד לעונש של 4 חודשי מאסר בפועל, אשר ירוצו בעבודות שירות.",,,,,,,,,,,,,,,,,,,[],['הנאשם קיבל 4 חודשי מאסר על תנאי'],[]
"כאן המקום לציין, כי במהלך שמיעת פרשת העונש, נתגלעה מחלוקת בין הצדדים, בנוגע לפרשנות כתב האישום, ליתר דיוק - סעיף 2 בפרק א' (העובדות) לכתב האישום: לטענת התביעה, קטע המשפט ""מחסנית כדורי 9 מ""מ"" מתייחס להחזקת מחסנית ובה כדורי תחמושת מאותו הסוג; ואילו לטענת ההגנה – כתב האישום המתוקן מתייחס להחזקת מחסנית בלבד.",,,,,,,"['הסוג של הנשק המוזכר בכתב האישום המתוקן הוא ""מחסנית כדורי 9 מ""מ"", שמתאים לאקדח התביעה טוענת']",,,,,,,,,,,,,,
"בדברו האחרון של הנאשם, מסר כי מצטער, ציין כי אביו חולה וכי זו הפעם הראשונה והאחרונה.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,['לא'],,,,,,,,,,,,,,,,
"ראשית, לעניין טענת ההגנה כי כתב האישום המתוקן אינו כולל החזקת כדורים וכי המדובר בתפיסת מחסנית ריקה – מפנה בית המשפט את הצדדים לדברי הנאשם בדיון, עת הודה הנאשם בכתב האישום המתוקן.",,,,,['כן'],,,,,,,,,,,,,,,,
"אני מודה בעובדות כתב האישום המתוקן, לרבות שהחזקתי בבית שלי אקדח מסוג FN  עם מחסנית וכדורים וגם רימון הלם.",,,,,['כן'],,['רימון הלם'],,,,,,,,,['מאחר'],,,,,
זה נכון שביום 27.9.18 כשהגיעו שוטרים לבית שלי לחפש אני לקחתי את הנשק וזרקתי אותו מחוץ לחלון המרפסת ואת רימון ההלם זרקתי בסמוך לשטח בית הספר שנמצא ליד הבית שלי וזה כדי שלא ימצאו את הנשק וישתמשו בו כראיה.,,,,,,,['רימון הלם/גז'],,,,[],,,['זריקת רימון'],['נשק עם מחסנית בהכנס'],[],,,,,
"לאחר קריאת כתב האישום המתוקן, טענות הצדדים, דברי הנאשם לעיל, מוצא בית המשפט לדחות נסיון ההגנה לפרש האמור בכתב האישום המתוקן, לפיו האקדח נתפס ללא תחמושת.",,,,,,,['אקדח'],,,,,,,,[],,,,,,
"שהרי, מעבר לדברי הנאשם המפורשים, הודה הנאשם גם בעבירה לפי הסיפא לסעיף 144(א) לחוק, שעניינה החזקת תחמושת.",,,,,['לא'],,,,,,,,,,,,,,,,
"החזקת נשק ותחמושת על ידי מי שלא נבדק, לא נמצא מתאים ולא הוכשר לכך, בתנאים שאינם מבטיחים בידודו של הנשק מהסביבה (כיום מי שמחזיק נשק ברשיון נדרש לאפסנו בכספת מאובטחת, מאחורי שני מנעולים), עלולה להביא לסיכון שלום הציבור, גם אם אין ראיות, שהוחזק לצורך פעילות שלילית, כמפורט לעיל.",,,,,,,,,,,,,,,,,,,,,
"זאת, כדי לבלום את שרשרת העבירות בשלב ראשוני.",,,,,,,,,,,,,,,,,,,,,
"ערעור המדינה התקבל בהסכמת הצדדים, תוך שהוחמרו עונשי המאסר שהושתו על המשיבים ל-26 ו-31 חדשי מאסר בפועל (בהתאמה).",,,,,,,,,,,,,,,,,,,,,
"בפסק הדין ע.פ. 4945/13 מדינת ישראל נ' סלימאן (פורסם במאגרים), אושר מתחם ענישה שינוע בין שנה ועד שלוש שנות מאסר, בגין החזקת כלי נשק  בודד מסוג קרל גוסטב וכן מחסנית וכדורים.",,,,,,,,,,,,,,,,,,,[],[],[]
"אף באותו מקרה, המדובר היה בצעיר, אשר ניהל אורח חיים נורמטיבי, כולל לימודים אקדמאיים בפקולטה לאדריכלות, ללא עבר פלילי.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"גם באותו מקרה, המליץ שירות המבחן להסתפק בעונש מאסר בפועל לריצוי בדרך של עבודות שירות.",,,,,,,,,,,,,,,,,,,,,
"בית המשפט העליון ציין, כי ראוי לקבוע עונשים מרתיעים בגין עבירות אלה והעמיד המתחם שם בין 12 ועד 36 חדשי מאסר בפועל.",,,,,,,,,,,,,,,,,,,[],[],[]
"שם, נדון נאשם בגין עבירה של נסיון להחזקת אקדח מסוג ברטה (העבירה תוקנה לנסיון, במסגרת הסדר טעון, בשל כך שהנשק לא היה תקין), וכן תת מקלע מאולתר, כשכלי הנשק הוחזקו בביתו של הנאשם שם, לעונש מאסר בן 20 חדשים בפועל.",,,,,,,['תת מקלע מאולתר'],,,,['בבית'],,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,,,
"זאת, במסגרת מתחם כולל שנע בין 18 עד 42 חדשי מאסר.",,,,,,,,,,,,,,,,,,,[],[],[]
"בשבתו כבית משפט לערעורים פליליים, דחה בית המשפט המחוזי, הרכב אב""ד כב' הנשיאה ר' יפה-כץ, ערעור ההגנה על חומרת העונש, תוך שמצא, כי חרף העדר אינדיקציה על שימוש פלילי או אחר המתוכן בנשק, ועל אף נסיבותיו האישיות של המערער שם (צעיר ללא עבר פלילי) – הרי הנסיבות האישיות ואינטרס השיקום, נדחים מפני האינטרס הציבורי של מיגור עבירות מסוג זה.",,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"מבחינת מדרג החומרה, הוצבה החזקה של רובה סער או תת מקלע – ברמה אחת לפני הרמה החמורה ביותר ואילו החזקת נשק קצר - אקדח - ברמה נמוכה יותר.",,,,,,,['אקדח'],,,,,,,,,,,,,,
"לנוכח הפסיקה, שפורטה באותה הנחיה, הונחתה התביעה הכללית לטעון למתחם שינוע בין שנתיים עד ארבע שנות מאסר בפועל בגין כל עבירה בודדת של החזקת רובה או תת מקלע; בין שנה לשלוש שנים בגין החזקת נשק קצר מסוג אקדח; 6 חדשי מאסר בפועל, לריצוי בדרך של עבודות שירות, עד 6 חדשי מאסר בפועל ממש בגין החזקת תחמושת.",,,,,,,,,,,,,,,,,,,[],[],[]
בכל הנוגע להחזקת נשק קצר מסוג אקדח – בין שנה ועד שנתיים מאסר בפועל;,,,,,,,,,,,,,,,,,,,['הנאשם קיבל מאסר של שנה עד שנתיים בפועל'],[],[]
בכל הנוגע להחזקת תחמושת בכמות של קליעים בודדים או עשרות קליעים – עד 6 חדשי מאסר בפועל;,,,,,,,,,,,,,,,,,,,[],[],[]
בנוגע להחזקת רימון הלם – בין 4 עד 10 חדשי מאסר בפועל;,,,,,,,,,,,,,,,,,,,[],[],[]
מתחם הענישה הכולל בתיק זה ינוע בין 18 ועד 30 חדשי מאסר בפועל.,,,,,,,,,,,,,,,,,,,[],[],[]
"הנאשם החזיק כלי נשק שונים (אקדח ורימון הלם), בצירוף תחמושת, בביתו, נגישים ומוכנים לשימוש.",,,,,,,['רימון הלם/גז'],,,,,,,[],"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",[],,,,,
"עוד יודגש פוטנציאל הסכנה במעשיו של הנאשם לשיבוש מהלכי המשפט – זריקת כלי הנשק מחלון ביתו, לרבות רימון ההלם, אשר נחת בסמוך לבית ספר, בו מצויים, באותה העת, ילדים – דבר אשר עלול היה להביא לפגיעה ממשית בתלמידים או בעוברי אורח אחרים, על לא עוול בכפם.",,,,,,,['רימון הלם/גז'],,,,,,,,,,,,,,
"העדר נטילת אחריות מלאה ותפישותיו המקלות של הנאשם בייחס לעבירות, מהווים נתון המצביע לכיוון החמרה מסוימת במסגרת מתחם הענישה.",,,,,['לא'],,,,,,,,,,,,,,,,
הנאשם הודה בעבירות וחסך זמן שיפוטי.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,['כן'],,,,,,,,,,,,,,,,
"לא הוצגו ראיות או אינדיקציות על כוונה לשימוש שלילי, פלילי או אחר, בנשק שנתפס.",,,,,,,,,,,,,,[],,,,,,,
הנאשם לא נתפס מסתבך עם החוק עד למעצרו בגין עבירה זו.,,,,,,,,,,,,,,,,,,,,,
עוד ייקח בית המשפט בחשבון התקופה בה שהה הנאשם במעצר וכן במעצר בפיקוח אלקטרוני.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,,,
"יתר על כן, ההמלצות הסופיות בתסקיר  אף אינן עולות בקנה אחד עם ממצאי התסקיר עצמו, בייחוד כאשר הנאשם נמצא כמי שמתקשה ליטול אחריות; שאינו מפנים הפסול הערכי במעשיו ואף אינו בשל להליך טיפולי.",,,,,['לא'],,,,,,,,,,,,,,,,
"הנאשם החזיק במגוון של נשק ותחמושת, כאשר שירות המבחן מצא לציין, כי ניכר שהנאשם מסתיר מידע הקשור לנסיבות מעורבותו בעבירות בהן הודה.",,,,,['כן'],,,,,,,,,,,,,,,,
משלא הובררו עד תום מניעי הנאשם להחזקת כלי הנשק – מוצא בית המשפט גם להשית מאסר מותנה מרתיע.,,,,,,,,,,,,,,,,,,,,,
"18 חודשי מאסר בפועל, בניכוי ימי מעצרו הממשי בתיק זה, ככל שקיימים, בהתאם לרישומי שב""ס;",,,,,,,,,,,,,,,,,,,['הנאשם קיבל 18 חודשי מאסר בפועל'],[],[]
"12 חודשים מאסר על תנאי למשך 3 שנים מיום שחרורו של הנאשם  ממאסרו, שהנאשם לא יעבור עבירה בניגוד לחוק העונשין, תשל""ז-1977, פרק ח' סימן א', למעט עבירה בניגוד לסעיף 144(א) סיפא לאותו חוק;",,,,,,,,,,,,,,,,,,,[],['12 חודשים מאסר על תנאי'],[]
"6 חדשי מאסר על תנאי למשך 3 שנים מיום שחרורו של הנאשם ממאסרו, שהנאשם לא יעבור עבירה בניגוד לחוק העונשין, תשל""ז-1977, סעיף 144(א) סיפא או סעיף 186;",,,,,,,,,,,,,,,,,,,[],['6 חודשי מאסר על תנאי'],[]
"קנס בסך 10,000 ₪ או 90 ימי מאסר תמורתו.",,,,,,,,,,,,,,,,,,,[],[],"['10,000 ₪']"
