text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION
"חוסאם הורשע בגין חברות בחמאס; שמירות חמושות ""נגד כניסת חיילי צה""ל""; ירי באחד המקרים, של 5 כדורים נגד טנק ישראלי, בעת כניסת כוחות צה""ל לעזה; מעורבות פעילה בהטמנת מטען חבלה כנגד טנקים; נשיאת שתי פצצות מרגמה, ומעורבות בירי הפצצות על ידי חבר חוליה אחר, לעבר טנק ישראלי, בכוונה לגרום למותם של חיילים.",,,,,,,,['מאחר'],['מטען חבלה'],"['ירי', 'ניסיון לירי', 'הפעלת מטען']",,,,
"הנאשם, בדברו האחרון, הביע חרטה, וביקש להקל בעונשו נוכח הצורך לטפל בילדו ובבן אחיו, ולסייע להוריו המבוגרים, שמצבם הבריאותי לקוי.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"על פי עקרונות הבניית שיקול הדעת השיפוטי בענישה, יש לקבוע ""יחס הולם בין חומרת מעשה העבירה בנסיבותיו ומידת אשמו של הנאשם ובין סוג ומידת העונש המוטל עליו"" (סעיף 40ב לחוק).",,,,,,,,,,,,,,
"סעיף 40ג(א) קובע כי ""...",,,,,,,,,,,,,,
"בית המשפט יקבע מתחם עונש הולם למעשה העבירה שביצע הנאשם בהתאם לעיקרון המנחה, ולשם כך יתחשב בערך החברתי שנפגע מביצוע העבירה, במידת הפגיעה בו, במדיניות הענישה הנהוגה ובנסיבות הקשורות בביצוע העבירה כאמור בסעיף 40ט.",,,,,,,,,,,,,,
"בית המשפט העליון עמד בשורה ארוכה של פסקי דין על החומרה הרבה הנודעת לביצוע מעשי עבירה כנגד ביטחון המדינה, אשר תכליתם זריעת טרור, הרס וקטל, ומכאן גם על הצורך להטיל ענישה מחמירה ומרתיעה לצורך סיכול והרחקת מבצעי העבירות מן האפשרות לביצוע המעשים בעתיד.",,,,,,,,,,,,,,
"יש לציין, עם זאת, כי כיום, לאחר תיקון 113 לחוק העונשין, השיקולים הקשורים בנסיבות האישיות של הנאשם, יילקחו בחשבון בעת קביעת העונש בתוך מתחם העונש ההולם שייקבע, כמפורט לעיל.",,,,,,,,,,,,,,
"על פי עובדות האישום הראשון, הנאשם, בשנת 2006, בהיותו בן למעלה מ- 18 שנים,  הצטרף לפלג הצבאי של ארגון החמאס, ואף קשר קשר עם פעילים נוספים, להתעמת ולבצע רצח של חיילים ישראליים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"לצורך כך נשאו הנאשם וחבריו נשק ותחמושת, והנאשם ירה באוויר לצורכי הרתעה, לאחר שלא נוצר מגע מזויין עם חיילים ישראליים.",,,,,,[],,[],,"['ירי', 'ניסיון לירי']",,,,
"בשים לב למתחם הענישה שנקבע בשלושה פסקי דין שניתנו על ידינו לאחרונה (עניין יאסר אבו חמד הנ""ל, תפח(ב""ש) 1152/07 מדינת ישראל נ' זכריא סמירי, ניתן ביום 2.5.2013, וכן תפח(ב""ש) 1010/09מדינת ישראל נ' חוסאם עטאר, ניתן ביום 8.4.2013), קובעים אנו כי מתחם הענישה בגין העבירות הכלולות באישום הראשון הינו בין חמש שנות מאסר לעשר שנות מאסר.",,,,,,,,,,,,,,
"באירועים המתוארים בפרטי האישום השני והשלישי, הורשע הנאשם, בנוסף לעבירות בנשק וקשירת קשר לרצח, גם בעבירות של ניסיון לרצח.",,,,,,,,,,,,,,
"כפי שעלה מאותם אירועים, הנאשם גילה מעורבות עמוקה במעשים, ושימש מרכיב מרכזי בתכנונם ובביצועם.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"באשר לעבירות הקשורות בשיגור הטיל, עלה, כי הנאשם פעל באופן נמרץ ונחוש, במספר הזדמנויות, תוך ניסיון להתגבר על מכשלות טכניות אלה ואחרות ושיתוף פעולה ""בין ארגוני"", להצלחת שיגורו של טיל לעבר ישראל.",,,,,,,,[],['טיל לאו'],['ניסיון לירי'],,,,
"הנאשם לא נכח אומנם בעת רגע השיגור של הטיל השני, אולם הודה בכך כי הכשיר את הקרקע לשיגור הטיל; היה בין הקושרים לביצוע רצח באמצעות הטיל; עסק באיתור הטילים; איחסן אחד מהם בביתו; היה מעורב ישירות בניסיון שיגור הטיל הראשון שפעולתו כשלה, תרם תרומה ממשית ועקבית להשלמתו המוצלחת של שיגור הטיל הנוסף, ואף הסיע את הפעילים האחרים למקום השיגור הסופי.",,,,,,,,[],['טיל לאו'],['ניסיון לירי'],,,,['לא']
"הגם שלא הובהר אם נגרמו נזקים עקב שיגור הטיל לישראל, הרי שכאמור, נוכח ""פוטנציאל הפגיעה"" הטמון בירי טיל בעל ראש נפץ לעבר מטרה רחבה, אין לדברים משמעות ניכרת לקולא.",,,,,,,,,['טיל'],[],,,,
"נסיבות האירוע הנוסף לו היה שותף הנאשם, המפורט באישום השלישי, מצביעות אף הן על גמירות דעתו של הנאשם, לפגוע פגיעה קטלנית בחיילים, בצוותא חדא עם חברי החוליה האחרים, שהצטיידו לצורך כך במגוון כלי נשק, והנאשם אף הסיעם לצורך העימות הקטלני עם חיילי צה""ל.",,,,,,,,['מאחר'],,"['ירי', 'ניסיון לירי', 'זריקת רימון', 'הפעלת מטען']",,,,
"התמזל המזל, ותכניתם של הנאשם וחבריו לא התממשה, לאחר שהכוח הצבאי הכריעם, ואחד מחברי חוליית הטרור אף מצא מותו מירי של צה""ל.",,,,,,,,,,['ניסיון לירי'],,,,
"העבירות באישום השלישי, המצביעות על כך שהנאשם פעל בצוותא חדא עם אחרים, תוך תכנון והכנה קפדניים, מתוך כוונה לפגוע פגיעה קטלנית בחיילים, מחייבות אף הן קביעת מתחם ענישה דומה, של עשר עד חמש עשרה שנות מאסר.",,,,,,,,,,,,,,
"עיינו בפסקי הדין אליהם הופנינו על ידי ב""כ הנאשם, ואולם לא מצאנו כי אלה משמשים בסיס להשוואת העונשים.",,,,,,,,,,,,,,
"כל מקרה לנסיבותיו הייחודיות, ולאיפיוניו השונים.",,,,,,,,,,,,,,
"באשר לעניין חוסאם חילס, הרי שבמעשי העבירה בהם הורשע הנאשם, לא עלה שמו של חוסאם חילס.",,,,,,,,,,,,,,
"עם זאת נציין, כי מגזר דינו של חוסאם חילס, עולה, כי הורשע בעבירה אחת של סיוע לניסיון לרצח, בשונה מהנאשם שהורשע כאמור בשתי עבירות של ניסיון לרצח, וכי תיאור מעלליו של חוסאם, אינו מצביע על מידת מעורבות דומיננטית במעשי העבירה בהם הורשע, הדומה לזו שגילה הנאשם דנא, ואין מקום להשוואת העונשים כנטען על ידי ההגנה.",,,,,,,,,,,,,,
"הנאשם הינו אדם צעיר, שהחל את חייו הבוגרים בביצועם של מעשי העבירה.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"יהיה עליו לרצות מאסר ממושך, תוך ניתוק מבני משפחתו וילדו, ואין הדברים פשוטים.",,"['1 : כן', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"עוד יש לתת את הדעת שהמעשים בוצעו תוך פרק זמן של כשנה, והנאשם נעצר למעלה משנה לאחר שחדל ממעשיו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"עם זאת, נוכח הנחרצות שגילה הנאשם במעשיו הנפשעים, במטרה לגרום לפגיעה וקטל, הרי שמשקלן של נסיבות אלה לא יהיה מרובה.",,,,,,,,,,[],,,,
"עוד יש לציין, כי קשה להסכים עם דברי ב""כ הנאשם, בדבר התרצותו של הנאשם במסירת הודייה, על רקע שינוי מצבה של המשפחה בעזה והניתוק מחמאס, שכן הודאת הנאשם באה לאחר שנים של ניהול משפט, ואף בפני שירות המבחן נקט הנאשם בלשון מתחמקת, שאינה מעידה כלל ועיקר על נטילת אחריות ממשית, כפי שאף התרשם שירות המבחן.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,['לא']
"בהתחשב בנסיבות העבירות וסוגיהן, מתחמי הענישה שפורטו, ומשפעילות הנאשם נמשכה תקופה קצרה יחסית, וכן תוך התחשבות מסויימת בנסיבות האישיות שתוארו ובהודאתו של הנאשם בעובדות כתב האישום המתוקן, ובשים לב לרמת הענישה שננקטה במקרים אחרים, ולנוכח הוראת סעיף 40יג לחוק, גוזרים אנו על הנאשם עונש כולל של עשרים (20) שנות מאסר, שמניינן מיום מעצרו 2.8.2008.",,,,,,,,,,,,,,
"בנוסף מוטלות על הנאשם שתי שנות מאסר מותנות למשך שלוש שנים, מתום מאסרו, שלא יעבור אחת כל עבירה כנגד הביטחון שהינה עבירת פשע.",,,,,,,,,,,,,,
זכות ערעור תוך 45 יום מהיום לבית המשפט העליון.,,,,,,,,,,,,,,
"ניתן היום,  ז' סיון תשע""ג ( 16 מאי 2013), במעמד הצדדים.",,,,,,,,,,,,,,
יפה כ#ץ 54678313-1161/08,,,,,,,,,,,,,,
