text,CIR_PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION
"כבר נפסק בדבר החשיבות של הטלת עונשים מחמירים בעבירות הסמים באשר לענישת בעלי התפקידים המשניים יותר בייבוא הסם, המגמה העונשית היא להחמיר עם בלדרי הסמים ולהשית עליהם מאסר בפועל לתקופה משמעותית, על מנת להרתיע מלהתפתות ולסייע בהבאת סמים ארצה, בהפצתם ומכירתם לצרכני סמים.",0,0,0,1,0,0,0,0,0,0,0
"עם זאת, תקופות המאסר המושתות על בלדרי סמים, משתנות ממקרה למקרה ותלויות בנסיבות הספציפיות שכן על הענישה להיות אינדיוידואלית.",0,0,0,1,0,0,0,0,0,0,0
"בענייננו הנאשם הובא לדין בשתי הזדמנויות קודמות, והורשע בין היתר בביצוע עבירות שעניינן החזקת סמים לצריכה עצמית.",0,1,0,0,0,0,0,0,0,0,0
"לקולא: הנאשם הודה בביצוע העבירה בטרם החלה שמיעת הראיות וחסך זמן שיפוטי, והביע חרטה.",0,0,0,0,0,0,0,0,1,1,1
הנאשם לא היווה את החוליה המרכזית בשרשרת הפצת הסם.,0,0,0,1,0,0,1,0,0,0,0
"מדובר במי שנדרש לעשות כן בלחץ מסוים של מלווים בשוק האפור; נסיבותיו האישיות של הנאשם אינן קלות; לנאשם אמנם הרשעות קודמות, אך מדובר בעבירות שביצע בשנת 2005; הנאשם מעולם לא ריצה מאסר בפועל.",0,1,0,0,0,0,0,0,0,0,0
"לאור הפסיקה ולאחר שקילת השיקולים השונים, יישום מדיניות הענישה בענייננו מחייב הטלת עונש מאסר בפועל ממשי, מאסר על תנאי וקנס.",0,0,0,1,0,0,0,0,0,0,0
"שכן, העבירות בוצעו על מנת להעשיר את כיסו של הנאשם גם אם לא בסכום גבוה.",0,0,0,1,0,0,0,0,0,0,0
"עם זאת, יש בשיקולים לקולא, ובעיקר ההודיה, חלקו של הנאשם בשרשרת, נסיבות גיוסו והעובדה כי זהו מאסרו הראשון, כדי למתן את הענישה.",0,1,0,0,0,0,0,0,0,0,1
"לפיכך הנאשם ירצה 56 חודשי מאסר בפועל; 24 חודשי מאסר על תנאי וישלם קנס בסך 4,000 ₪.",1,0,0,0,0,0,0,0,0,0,0
"הנאשם הורשע על פי הודאתו בעובדות כתב האישום, בעבירה של ייבוא סם מסוכן, לפי סעיף 13 יחד עם סעיף 19א לפקודת הסמים המסוכנים [נוסח חדש], התשל""ג – 1973.",0,0,0,0,0,0,0,0,0,0,1
הודאת הנאשם נעשתה במסגרת הסדר טיעון לפיו התביעה מגבילה עצמה בעתירתה לגזור על הנאשם 6 שנים מאסר בפועל ואילו ההגנה טוענת באופן חופשי.,0,0,0,0,0,0,0,0,0,0,1
"על פי עובדות כתב האישום, ביום 13.10.10 יצא הנאשם את הארץ בטיסה לברזיל, דרך איטליה.",0,0,0,1,0,0,0,0,0,0,0
"עובר ליום 3.11.10, בברזיל, הטמין הנאשם בתרמילו, בעצמו או באמצעות אדם אחר מטעמו, סם מסוכן מסוג קוקאין.",0,0,1,0,1,1,1,0,0,0,0
"ביום 3.11.10 נחת הנאשם בנמל התעופה בן גוריון כשהוא נושא בתרמילו, בדופן כפולה, חבילה ובה קוקאין במשקל של  ברוטו.",0,0,1,0,1,1,0,0,0,0,0
"תסקיר שירות המבחן מציין: הנאשם כבן 27, טרם מעצרו עמד לפני נישואים ועבד בעיסוקים מזדמנים.",0,1,0,0,0,0,0,0,0,0,0
"אביו סובל מנכות ואינו עובד, אמו ואחיו הקטן חולים.",0,1,0,0,0,0,0,0,0,0,0
הנאשם סיים 7 שנות לימוד.,0,1,0,0,0,0,0,0,0,0,0
"על רקע גילו הצעיר כעובד והצורך המיידי בסיוע לכלכלת הבית, סבל מניצול וקיפוח מידי מעסיקיו.",0,1,0,0,0,0,0,0,0,0,0
שירות המבחן התרשם מהתנהלות חסרת יציבות לאורך השנים כשבשנים האחרונות מגלה מעורבות מסוימת בעבריינות סמים.,0,1,0,0,0,0,0,0,0,0,0
"נראה שבעקבות מחלת אמו והירידה בהשפעתה המרסנת עליו, החל להידרדר.",0,1,0,0,0,0,0,0,0,0,0
בנוסף התרשמו מהיעדר מיומנויות לניהול אורח חיים מאורגן  ויכולת לתפקוד במסגרות מקובלות.,0,1,0,0,0,0,0,0,0,0,0
"הנאשם הודה, כי בתקופה שקדמה לביצוע העבירות צבר חובות שאותם שילם באמצעות הלוואות שנטל מהשוק האפור.",0,1,0,0,0,0,0,0,0,0,0
לדבריו הבלדרות סודרה על ידי נושיו.,0,0,0,0,0,0,1,0,0,0,0
"כיום הוא מבין, כי עליו לשאת את המחיר בגין מעורבותו בעבירה.",0,0,0,1,0,0,0,0,0,0,0
"שירות המבחן סבור, כי נדרשת בעניינו התערבות שיקומית אשר תחדד עבורו את חומרת מצבו ותסייע לו לרכוש הרגלי תפקוד תקינים.",0,0,0,1,0,0,0,0,0,0,0
"ואולם, נוכח חומרת העבירות שביצע, אין מקום להציע התערבות טיפולית במסגרת השירות.",0,0,0,1,0,0,0,0,0,0,0
"התביעה עותרת לאמץ את הרף הגבוה של הסדר הטיעון ולגזור על הנאשם מאסר של 6 שנים, מאסר על תנאי, שלילת רישיון וקנס.",1,0,0,1,0,0,0,0,0,0,0
"ב""כ התביעה ציין: התופעה של ייבוא הסם והברחתו לארץ דרך נמל התעופה, הינה נפוצה; מדיניות הענישה בעבירות אלה מחייבת להשית על בלדרי סם תקופת מאסר משמעותית; מהתסקיר עולה, שהדרך בה הלך הנאשם לא נכפתה עליו.",0,0,0,1,0,0,0,0,0,0,0
"וכן כי יש צורך לחדד לו כי ביצע עבירות ואין המלצה להתערבות טיפולית; לא ניתן לתרץ מעשים ופגיעה חמורה בחברה בשל קשיים כאלה ואחרים, משום שלא ניתן יהיה לקיים כך חברה תקינה; הטלת קנס מחויבת בענייננו, בשל הכמות הגדולה של סם שניסה הנאשם להכניס לארץ.",0,0,0,1,0,0,0,0,0,0,0
"לפי הפסיקה, במקום בו מניע כלכלי הביא לביצוע העבירות, יש ליתן ביטוי למניע זה גם בעונש  כדי להרתיע אחרים; העונש לו עותרת התביעה מקל עם הנאשם במידה מסוימת ומתחשב עם המתואר בתסקיר ובחיסכון בזמן השיפוטי.",0,0,0,1,0,0,0,0,0,0,0
"ההגנה עותרת לגזור על הנאשם עונש מאסר בפועל המצוי בטווח הפסיקה אליה היפנה, בין 18 חודשים ל-4 שנים ולהימנע מהטלת קנס.",0,0,0,1,0,0,0,0,0,0,0
"ב""כ הנאשם ציין: המדובר בנאשם צעיר שלקח אחריות, הודה וחסך זמן שיפוטי ניכר; אין לנאשם עבר פלילי מכביד; הפסיקה ערכה הבחנה בין דגי הרקק לבין הכרישים בסוג זה של עבירות.",0,1,0,0,0,0,0,0,0,1,1
"הנאשם פעל ממצוקה כלכלית קשה, כאשר כאח הבכור נדרש לפרנס את הוריו החולים ואחיו.",0,1,0,0,0,0,0,0,0,0,0
"במסגרת החובות שנקלע אליהם, נטל הנאשם הלוואות בשוק האפור אותן התקשה לפרוע.",0,1,0,0,0,0,0,0,0,0,0
הנאשם נוצל בצורה צינית על ידי הגורמים ששלחו אותו לבצע את הבלדרות.,0,0,1,1,0,0,1,0,0,0,0
"הוא לא תכנן, לא מימן ולא מכיר את השולחים.",0,0,0,1,0,0,0,0,0,0,0
"הוא מעולם לא נסע לחו""ל בטיסה; מהתסקיר עולה שלמרות הרקע הקשה של הנאשם, הוא הצליח רוב שנותיו, להימנע מהסתבכויות עם החוק; התסקיר מציין שיש צורך בהתערבות שיקומית; לנאשם לא היה רווח כלכלי משמעותי, שכן אמור היה לקבל, תמורה בגובה הכנסתו החודשית.",0,1,0,0,0,0,0,0,0,0,0
הנאשם הביע צער וביקש את סליחתו של הציבור ובית המשפט.,0,0,0,0,0,0,0,0,1,0,0
"ציין כי היה במצב כה קשה, שאם היו אומרים לו להתאבד, היה  עושה כן.",0,1,0,0,0,0,0,0,0,0,0
"המצב הכלכלי היה קשה, הוא נקלע לחובות ומצב זה גרם לו לבצע את העבירה.",0,1,0,0,0,0,0,0,0,0,0
הנאשם ציין כי זהו מאסרו הראשון  ומבקש התחשבות במצבו.,0,1,0,0,0,0,0,0,0,0,0
לחומרה שקלתי לנאשם:,0,0,0,1,0,0,0,0,0,0,0
"העבירה בה הורשע הנאשם הינה חמורה, כשהעונש המירבי הקבוע לצידה הינו 20 שנות מאסר.",0,0,0,1,0,0,0,0,0,0,0
מדובר בסם קשה מסוג קוקאין ובמשקל לא מבוטל שניתן להפיק ממנו כמות גדולה מאד של מנות סם.,0,0,1,0,1,1,1,0,0,0,0
עוד הדגיש שם כב' השופט חשין את המלחמה הנמשכת בנגע הסמים:,0,0,0,0,0,0,0,0,0,0,0
"הנאשם הובא לדין בשתי הזדמנויות קודמות, והורשע בין היתר בביצוע עבירות שעניינן החזקת סמים לצריכה עצמית.",0,1,0,0,0,0,0,0,0,0,0
לקולא שקלתי לנאשם:,0,0,0,1,0,0,0,0,0,0,0
הנאשם הודה בביצוע העבירה בטרם החלה שמיעת הראיות.,0,0,0,0,0,0,0,0,0,0,0
"בהודאתו, חסך הנאשם זמן שיפוטי והביע חרטה.",0,0,0,0,0,0,0,0,1,1,1
"הוא לא משתייך לראשי הפרמידה, הוא אינו היוזם, המתכנן או המממן את מבצע ייבוא הסם.",0,0,1,1,0,0,1,0,0,0,0
"נסיבות גיוסו של הנאשם לביצוע הבלדרות, לא הוכחשו ע""י המאשימה.",0,0,0,1,0,0,0,0,0,0,0
מדובר במי שנדרש לעשות כן בלחץ מסוים של המלווים בשוק האפור אשר הציעו זאת כפיתרון ומוצא משלא עלה בידי הנאשם לפרוע את חובותיו.,0,1,0,1,0,0,0,0,0,0,0
נסיבותיו האישיות של הנאשם אינן קלות.,0,1,0,0,0,0,0,0,0,0,0
"הוא צעיר כבן 27, רווק  אשר גדל ברקע משפחתי קשה, כאשר הוא המפרנס היחיד.",0,1,0,0,0,0,0,0,0,0,0
אביו נכה ואמו ואחיו הקטן חולים.,0,1,0,0,0,0,0,0,0,0,0
"לנאשם אמנם הרשעות קודמות, אך מדובר בעבירות שביצע בשנת 2005.",0,1,0,0,0,0,0,0,0,0,0
הנאשם מעולם לא ריצה מאסר בפועל.,0,0,0,0,0,0,0,0,0,0,0
הצדדים הגישו אסמכתאות לביסוס טענתם בדבר רף הענישה המקובל בעבירות ייבוא סמים.,0,0,0,1,0,0,0,0,0,0,0
"התביעה הציגה פסיקה בה נידונו נאשמים בעבירות של ייבוא סם, ל- 6 וחצי שנים ו- 12 שנים מאסר בפועל.",0,0,0,1,0,0,0,0,0,0,0
"ואולם, הגם שבאותם פסקי דין, דובר בכמות קטנה יותר של סם, הרי שיש מקום לאבחן אותם לחומרה לעומת ענייננו.",0,0,0,1,0,0,0,0,0,0,0
"ההגנה הציגה פסיקה בה נידונו נאשמים בעבירות של ייבוא סם, ל- 18 חודשי מאסר בפועל ועד 4 שנות מאסר בפועל.",0,0,0,1,0,0,0,0,0,0,0
"ואולם, יש מקום לאבחן אותם לקולא לעומת ענייננו.",0,0,0,1,0,0,0,0,0,0,0
"לאחר ששקלתי את השיקולים השונים, שוכנעתי כי יישום מדיניות הענישה בענייננו, מחייב הטלת עונש מאסר בפועל ממשי, וכן הטלת רכיב של מאסר על תנאי וקנס כספי.",0,0,0,1,0,0,0,0,0,0,0
"עם זאת, יש בשיקולים לקולא, ובעיקר ההודיה, חלקו של הנאשם בשרשרת, נסיבות גיוסו 	והעובדה כי זהו מאסרו הראשון, כדי למתן את הענישה.",0,1,0,0,0,0,0,0,0,0,1
לפיכך אני גוזרת על הנאשם:,0,0,0,1,0,0,0,0,0,0,0
א.	56 חודשים  מאסר בפועל שתחילתו מיום מעצרו בתיק זה 3/11/10.,1,0,0,0,0,0,0,0,0,0,0
24 חודשים מאסר על תנאי שלא יעבור תוך 3 שנים מיום שחרורו מהמאסר עבירת פשע לפי פקודת הסמים המסוכנים.,1,0,0,0,0,0,0,0,0,0,0
"קנס בסך 4,000 ₪ שישולם ב- 4 תשלומים חודשיים ושווים, הראשון ביום 15/02/12 או 30 ימי מאסר  תמורתו.",1,0,0,0,0,0,0,0,0,0,0
הסם והתיק יושמדו  כשפסק  הדין יהיה חלוט.,1,0,0,0,0,0,0,0,0,0,0
זכות ערעור תוך 45 יום .,0,0,0,1,0,0,0,0,0,0,0
"ניתנה והודעה היום י""ב סיון תשע""א, 14/06/2011 במעמד הנוכחים.",0,0,0,1,0,0,0,0,0,0,0
נוסח מסמך זה כפוף לשינויי ניסוח ועריכה,0,0,0,1,0,0,0,0,0,0,0
"בעניין עריכה ושינויים במסמכי פסיקה, חקיקה ועוד באתר נבו – הקש כאן",0,0,0,1,0,0,0,0,0,0,0
