,Unnamed: 0.1,Unnamed: 0,feature_key,text,extraction,verdict
28,28,28,AMMU_AMOUNT_WEP,"הנאשם הודה, כי נשא אקדח הטעון במחסנית ריקה ובכיסו האחורי נמצאו 2 כדורים התואמים לאקדח.",['אקדח'],ME-13-10-53169-537
29,29,29,STATUS_WEP,"הנאשם הודה, כי נשא אקדח הטעון במחסנית ריקה ובכיסו האחורי נמצאו 2 כדורים התואמים לאקדח.",[],ME-13-10-53169-537
30,30,30,CONFESSION,"כמו כן, הודה הנאשם, כי החזיק מתחת לכיסא הנהג שברכבו שקית ובה 17 כדורי אקדח ומחסנית לאקדח.",[],ME-13-10-53169-537
31,31,31,TYPE_WEP,"כמו כן, הודה הנאשם, כי החזיק מתחת לכיסא הנהג שברכבו שקית ובה 17 כדורי אקדח ומחסנית לאקדח.",['כדורי'],ME-13-10-53169-537
32,32,32,AMMU_AMOUNT_WEP,"כמו כן, הודה הנאשם, כי החזיק מתחת לכיסא הנהג שברכבו שקית ובה 17 כדורי אקדח ומחסנית לאקדח.",['17'],ME-13-10-53169-537
33,33,33,CONFESSION,"בנוסף, הודה הנאשם, כי זמן מה קודם לכן, ירה בנשק כ- 15 יריות לכיוון שאינו ידוע למאשימה.",['15 יריות לכיוון שאינו ידוע למאשימה.'],ME-13-10-53169-537
34,34,34,USE,"בנוסף, הודה הנאשם, כי זמן מה קודם לכן, ירה בנשק כ- 15 יריות לכיוון שאינו ידוע למאשימה.",['15 יריות'],ME-13-10-53169-537
35,35,35,CONFESSION,"הנאשם הורשע עפ""י הודאתו, במסגרת הסדר טיעון, בביצוע עבירות של היזק בזדון בחומר נפיץ, החזקת נשק ונשיאת נשק- עבירות לפי סעיפים 454, 144(א) רישא ו- 144(ב) רישא לחוק העונשין התשל""ז- 1977.",[],ME-14-03-48488-922
36,36,36,CONFESSION,"על פי עובדות כתב האישום המתוקן בהן הודה הנאשם הוא ייצר סמוך לתאריך 4.1.14 מטען חבלה מצינור מתכת הסגור בשני צדדיו שבתוכו חומר נפיץ, פתיל ו-47 קליעי נק""ל, וזאת  באופן שתוכנן כך שיגרום למותו של אדם עם התפוצצותו.",['ייצר'],ME-14-03-48488-922
37,37,37,TYPE_WEP,"על פי עובדות כתב האישום המתוקן בהן הודה הנאשם הוא ייצר סמוך לתאריך 4.1.14 מטען חבלה מצינור מתכת הסגור בשני צדדיו שבתוכו חומר נפיץ, פתיל ו-47 קליעי נק""ל, וזאת  באופן שתוכנן כך שיגרום למותו של אדם עם התפוצצותו.",['מצינור מתכת'],ME-14-03-48488-922
38,38,38,AMMU_AMOUNT_WEP,"על פי עובדות כתב האישום המתוקן בהן הודה הנאשם הוא ייצר סמוך לתאריך 4.1.14 מטען חבלה מצינור מתכת הסגור בשני צדדיו שבתוכו חומר נפיץ, פתיל ו-47 קליעי נק""ל, וזאת  באופן שתוכנן כך שיגרום למותו של אדם עם התפוצצותו.",['47'],ME-14-03-48488-922
39,39,39,CONFESSION,"הנאשם אף הורשע על פי הודאתו, כי בתאריך 25.2.2014 החזיק בביתו מכשיר טלפון נייד המשמש בין היתר כמערכת הפעלה במטעני חבלה מאולתרים.",[],ME-14-03-48488-922
40,40,40,TYPE_WEP,"הנאשם אף הורשע על פי הודאתו, כי בתאריך 25.2.2014 החזיק בביתו מכשיר טלפון נייד המשמש בין היתר כמערכת הפעלה במטעני חבלה מאולתרים.",['מכשיר טלפון נייד'],ME-14-03-48488-922
41,41,41,CONFESSION,"ב""כ הנאשם עתר אף הוא לבית המשפט לכבד את הסדר הטיעון, בהדגישו כי הקשיים הראייתיים עליהם הצביע ב""כ המאשימה הינם מהותיים, ובכל זאת הנאשם בחר ליטול אחריות למעשיו והודה בבית המשפט.",['בבית המשפט'],ME-14-03-48488-922
42,42,42,CONFESSION,"לקולא ציין כי הנאשם הודה באישום המיוחס לו, תוך חיסכון בזמן שיפוטי, כי עמדת המתלונן היא סלחנית, הוא היה מעוניין בהסדר, ובסופו של דבר לא נגרם נזק.",['באישום המיוחס לו'],ME-14-10-31218-522
43,43,43,CONFESSION,"הסנגור ציין כי ההגנה אינה מקלה ראש בעבירה דנן, ומודעת לסכנה הטמונה בעבירות נשק, אך ביקש להתחשב לקולא בגזירת עונשו בנסיבות ביצוע העבירה, בנסיבותיו האישיות של הנאשם, בהודייתו בביצוע העבירה ובחרטתו הכנה והאמיתית.",[],ME-14-10-31218-522
44,44,44,CONFESSION,"הנאשם הורשע על סמך הודאתו בהסדר בכתב אישום מתוקן בהחזקת  רימון הלם, כאשר הרימון הושלך סמוך לאחר מכן למרפסת ביתו של המתלונן, התפוצץ והשמיע קול נפץ עז.",[],ME-14-10-31218-522
45,45,45,TYPE_WEP,"הנאשם הורשע על סמך הודאתו בהסדר בכתב אישום מתוקן בהחזקת  רימון הלם, כאשר הרימון הושלך סמוך לאחר מכן למרפסת ביתו של המתלונן, התפוצץ והשמיע קול נפץ עז.",['רימון הלם'],ME-14-10-31218-522
46,46,46,USE,"הנאשם הורשע על סמך הודאתו בהסדר בכתב אישום מתוקן בהחזקת  רימון הלם, כאשר הרימון הושלך סמוך לאחר מכן למרפסת ביתו של המתלונן, התפוצץ והשמיע קול נפץ עז.",['רימון הלם'],ME-14-10-31218-522
47,47,47,CONFESSION,"לקולא אני רואה לזקוף לזכותו של הנאשם את הודייתו בעובדות כתב האישום המתוקן בטרם הוחל בשמיעת הראיות, אשר חסכו זמן שיפוטי רב, וכן את האחריות והחרטה שהביעו על מעשיו.",['בעובדות כתב האישום המתוקן'],ME-14-10-31218-522
48,48,48,TYPE_WEP,"עפ""י עובדות כתב האישום המתוקן, עובר ליום 11.5.12 נגנב אקדח 9 מ""מ מסוג ברטה שמספרו D60383Y (להלן: ""האקדח""), אשר היה בבעלותו של מר יוסף פלדמן.","['אקדח 9 מ""מ']",ME-12-05-33444-999
49,49,49,TYPE_WEP,מתחת למושב הקדמי הימני נשא הנאשם את האקדח ובו מחסנית שבתוכה כדורים.,['האקדח ובו מחסנית שבתוכה כדורים'],ME-12-05-33444-999
50,50,50,HELD_WAY_WEP,מתחת למושב הקדמי הימני נשא הנאשם את האקדח ובו מחסנית שבתוכה כדורים.,['מתחת למושב הקדמי הימני'],ME-12-05-33444-999
51,51,51,AMMU_AMOUNT_WEP,מתחת למושב הקדמי הימני נשא הנאשם את האקדח ובו מחסנית שבתוכה כדורים.,[],ME-12-05-33444-999
52,52,52,TYPE_WEP,"מוסכם, כי האקדח הוחזק על ידי הנאשם לצורך הגנה עצמית, לאחר תקרית היירי בבנו, אולם שנוי במחלוקת המשקל שיש ליתן לנסיבות חריגות אלו על העונש.",['האקדח'],ME-12-05-33444-999
53,53,53,TYPE_WEP,"ב""כ המאשימה ראתה בחומרה את העובדה שהנאשם הגיש בקשה לרישיון בנשק שנדחתה, או אז, על אף שהיה מודע לאיסור שבהחזקתו ללא רישיון, בחר לעשות דין לעצמו והשיג את האקדח והתחמושת.","['ללא רישיון, בחר לעשות דין לעצמו והשיג את האקדח והתחמושת']",ME-12-05-33444-999
54,54,54,TYPE_WEP,"עוד עולה, כי במועד אשר אינו ידוע למאשימה, הצטייד הנאשם בנשק מסוג אקדח (להלן: ""הנשק"").",['אקדח'],ME-13-04-35007-454
55,55,55,CONFESSION,"כן הפנתה המאשימה לתסקיר שירות המבחן שהוגש בעניינו של הנאשם והדגישה, כי מהתסקיר עולה, כי הנאשם מתקשה לקבל אחריות לעובדות כתב האישום המתוקן בהן הודה, מנסה להיתלות בטענה כאילו ההתרחשויות קרו לאור שימוש לרעה באלכוהול, כאשר הנאשם מביא בפני שירות המבחן גרסה לפיה, לאור היותו תחת השפעת אלכוהול, הוא קיבל מאחר שאינו זוכר מיהו, אקדח.",['מנסה להיתלות בטענה כאילו ההתרחשויות קרו לאור שימוש לרעה באלכוהול'],ME-13-04-35007-454
56,56,56,TYPE_WEP,"כן הפנתה המאשימה לתסקיר שירות המבחן שהוגש בעניינו של הנאשם והדגישה, כי מהתסקיר עולה, כי הנאשם מתקשה לקבל אחריות לעובדות כתב האישום המתוקן בהן הודה, מנסה להיתלות בטענה כאילו ההתרחשויות קרו לאור שימוש לרעה באלכוהול, כאשר הנאשם מביא בפני שירות המבחן גרסה לפיה, לאור היותו תחת השפעת אלכוהול, הוא קיבל מאחר שאינו זוכר מיהו, אקדח.",['אקדח'],ME-13-04-35007-454
57,57,57,OBTAIN_WAY_WEP,"כן הפנתה המאשימה לתסקיר שירות המבחן שהוגש בעניינו של הנאשם והדגישה, כי מהתסקיר עולה, כי הנאשם מתקשה לקבל אחריות לעובדות כתב האישום המתוקן בהן הודה, מנסה להיתלות בטענה כאילו ההתרחשויות קרו לאור שימוש לרעה באלכוהול, כאשר הנאשם מביא בפני שירות המבחן גרסה לפיה, לאור היותו תחת השפעת אלכוהול, הוא קיבל מאחר שאינו זוכר מיהו, אקדח.",['תחת השפעת אלכוהול'],ME-13-04-35007-454
58,58,58,TYPE_WEP,"הנאשם הכחיש, כי הוא הגיע לקטטה כשהוא מצויד באקדח ולטענתו, האקדח ניתן לו בעת האירוע מאדם שאינו זוכר, בשל היותו תחת השפעת אלכוהול.",['באקדח'],ME-13-04-35007-454
59,59,59,OBTAIN_WAY_WEP,"הנאשם הכחיש, כי הוא הגיע לקטטה כשהוא מצויד באקדח ולטענתו, האקדח ניתן לו בעת האירוע מאדם שאינו זוכר, בשל היותו תחת השפעת אלכוהול.",['באקדח'],ME-13-04-35007-454
60,60,60,TYPE_WEP,"הנאשם שב וציין, כי הוא לא הגיע לקטטה כשהוא מצויד באקדח וכי התנהגותו התוקפנית נבעה בעיקר מתוך חשש שמא יפגע ע""י הצעירים מהחמולה היריבה.",['באקדח'],ME-13-04-35007-454
61,61,61,TYPE_WEP,"באשר לנסיבות הקשורות בביצוע העבירות, נציין, כי הנאשם הצטייד בנשק מסוג אקדח.",['אקדח'],ME-13-04-35007-454
62,62,62,TYPE_WEP,"בהקשר זה ראוי לציין, כי הנאשם החזיק שלא כדין אקדח והגיע עמו לטבורו של כפר, כשהוא טעון, זאת במטרה להפחיד אחרים המעורבים בסכסוך ואשר היו בקרבת מקום.",['אקדח'],ME-13-04-35007-454
63,63,63,STATUS_WEP,"בהקשר זה ראוי לציין, כי הנאשם החזיק שלא כדין אקדח והגיע עמו לטבורו של כפר, כשהוא טעון, זאת במטרה להפחיד אחרים המעורבים בסכסוך ואשר היו בקרבת מקום.",['טעון'],ME-13-04-35007-454
64,64,64,TYPE_WEP,"באשר לסוגיית התכנון שקדם לביצוע העבירות והאם עסקינן במעשים אשר הינם פרי תכנון מוקדם, או מעשים רגעיים וספונטניים, נציין מחד, את עובדות כתב האישום המתוקן אשר מהן עולה, כי במועד אשר אינו ידוע למאשימה, הצטייד הנאשם בנשק מסוג אקדח וכי על רקע האירועים הקשורים לסכסוך, הגיע הנאשם למרכז הכפר כשהוא נושא ומוביל עמו את הנשק כשהוא טעון.",['בנשק מסוג אקדח'],ME-13-04-35007-454
65,65,65,HELD_WAY_WEP,"באשר לסוגיית התכנון שקדם לביצוע העבירות והאם עסקינן במעשים אשר הינם פרי תכנון מוקדם, או מעשים רגעיים וספונטניים, נציין מחד, את עובדות כתב האישום המתוקן אשר מהן עולה, כי במועד אשר אינו ידוע למאשימה, הצטייד הנאשם בנשק מסוג אקדח וכי על רקע האירועים הקשורים לסכסוך, הגיע הנאשם למרכז הכפר כשהוא נושא ומוביל עמו את הנשק כשהוא טעון.",['למרכז הכפר'],ME-13-04-35007-454
66,66,66,STATUS_WEP,"באשר לסוגיית התכנון שקדם לביצוע העבירות והאם עסקינן במעשים אשר הינם פרי תכנון מוקדם, או מעשים רגעיים וספונטניים, נציין מחד, את עובדות כתב האישום המתוקן אשר מהן עולה, כי במועד אשר אינו ידוע למאשימה, הצטייד הנאשם בנשק מסוג אקדח וכי על רקע האירועים הקשורים לסכסוך, הגיע הנאשם למרכז הכפר כשהוא נושא ומוביל עמו את הנשק כשהוא טעון.",['טעון'],ME-13-04-35007-454
67,67,67,TYPE_WEP,"מנגד, נציין את דברי הנאשם בפני שירות המבחן, כפי שהדבר קיבל את ביטויו בתסקירי שירות המבחן שהוגשו, בדבר קבלת האקדח במקום האירוע במרכז הכפר, ממאן דהוא, אשר הנאשם אינו זוכר את זהותו ושעה שהנאשם היה נתון תחת השפעת אלכוהול.",['האקדח'],ME-13-04-35007-454
68,68,68,OBTAIN_WAY_WEP,"מנגד, נציין את דברי הנאשם בפני שירות המבחן, כפי שהדבר קיבל את ביטויו בתסקירי שירות המבחן שהוגשו, בדבר קבלת האקדח במקום האירוע במרכז הכפר, ממאן דהוא, אשר הנאשם אינו זוכר את זהותו ושעה שהנאשם היה נתון תחת השפעת אלכוהול.",['תחת השפעת אלכוהול'],ME-13-04-35007-454
69,69,69,TYPE_WEP,"יצוין, כי דבריו אלו של הנאשם, עומדים הם במידה מסוימת בסתירה לעובדות כתב האישום, שעה שמהעובדות עולה כאמור, כי הנאשם הצטייד באקדח והגיע למרכז הכפר כשהוא נושא ומוביל עמו את הנשק כשהוא טעון.",['באקדח והגיע למרכז הכפר כשהוא נושא ומוביל עמו את הנשק כשהוא טעון'],ME-13-04-35007-454
70,70,70,HELD_WAY_WEP,"יצוין, כי דבריו אלו של הנאשם, עומדים הם במידה מסוימת בסתירה לעובדות כתב האישום, שעה שמהעובדות עולה כאמור, כי הנאשם הצטייד באקדח והגיע למרכז הכפר כשהוא נושא ומוביל עמו את הנשק כשהוא טעון.",['למרכז הכפר'],ME-13-04-35007-454
71,71,71,STATUS_WEP,"יצוין, כי דבריו אלו של הנאשם, עומדים הם במידה מסוימת בסתירה לעובדות כתב האישום, שעה שמהעובדות עולה כאמור, כי הנאשם הצטייד באקדח והגיע למרכז הכפר כשהוא נושא ומוביל עמו את הנשק כשהוא טעון.",['טעון'],ME-13-04-35007-454
72,72,72,TYPE_WEP,"באשר לנזק שצפוי היה להיגרם מביצוע העבירות, יצוין בהקשר זה האמור בעובדות כתב האישום המתוקן ולפיהן, הנאשם הגיע עם הנשק כשהוא טעון, במטרה להפחיד את המעורבים בסכסוך אשר היו בקרבת מקום, על המשמעויות הרוחביות הקמות מכך, באשר לנזק שעלול היה להיגרם מהחזקת אקדח כשהוא טעון ברחובה של עיר, בנוכחות אחרים, אשר מעורבים בסכסוך עם הנאשם ואחרים.",['אקדח'],ME-13-04-35007-454
73,73,73,STATUS_WEP,"באשר לנזק שצפוי היה להיגרם מביצוע העבירות, יצוין בהקשר זה האמור בעובדות כתב האישום המתוקן ולפיהן, הנאשם הגיע עם הנשק כשהוא טעון, במטרה להפחיד את המעורבים בסכסוך אשר היו בקרבת מקום, על המשמעויות הרוחביות הקמות מכך, באשר לנזק שעלול היה להיגרם מהחזקת אקדח כשהוא טעון ברחובה של עיר, בנוכחות אחרים, אשר מעורבים בסכסוך עם הנאשם ואחרים.",['טעון'],ME-13-04-35007-454
74,74,74,TYPE_WEP,"מאידך ראוי לציין, כי כעולה מעובדות כתב האישום, הרי שבפועל לא נעשה שימוש בנשק ולא נגרם כל נזק ממשי ומוחשי בעטיו, מבלי להקל ראש בעצם נשיאת הנשק, החזקת האקדח ברחובה של עיר כשהוא טעון ובנוכחות אחרים, עמם נתון הנאשם בסכסוך.",['האקדח'],ME-13-04-35007-454
75,75,75,HELD_WAY_WEP,"מאידך ראוי לציין, כי כעולה מעובדות כתב האישום, הרי שבפועל לא נעשה שימוש בנשק ולא נגרם כל נזק ממשי ומוחשי בעטיו, מבלי להקל ראש בעצם נשיאת הנשק, החזקת האקדח ברחובה של עיר כשהוא טעון ובנוכחות אחרים, עמם נתון הנאשם בסכסוך.",['ברחובה של עיר'],ME-13-04-35007-454
76,76,76,STATUS_WEP,"מאידך ראוי לציין, כי כעולה מעובדות כתב האישום, הרי שבפועל לא נעשה שימוש בנשק ולא נגרם כל נזק ממשי ומוחשי בעטיו, מבלי להקל ראש בעצם נשיאת הנשק, החזקת האקדח ברחובה של עיר כשהוא טעון ובנוכחות אחרים, עמם נתון הנאשם בסכסוך.",['טעון'],ME-13-04-35007-454
77,77,77,USE,"מאידך ראוי לציין, כי כעולה מעובדות כתב האישום, הרי שבפועל לא נעשה שימוש בנשק ולא נגרם כל נזק ממשי ומוחשי בעטיו, מבלי להקל ראש בעצם נשיאת הנשק, החזקת האקדח ברחובה של עיר כשהוא טעון ובנוכחות אחרים, עמם נתון הנאשם בסכסוך.",[],ME-13-04-35007-454
78,78,78,TYPE_WEP,"עוד נציין את מהות הנשק, שעה שעסקינן בהחזקת אקדח ובנשיאתו, זאת כשהוא טעון.",['אקדח'],ME-13-04-35007-454
79,79,79,STATUS_WEP,"עוד נציין את מהות הנשק, שעה שעסקינן בהחזקת אקדח ובנשיאתו, זאת כשהוא טעון.",['טעון'],ME-13-04-35007-454
80,80,80,CONFESSION,"הנאשם הודה, כי נשא אקדח הטעון במחסנית ריקה ובכיסו האחורי נמצאו 2 כדורים התואמים לאקדח.",[],ME-13-10-53169-537
81,81,81,TYPE_WEP,"הנאשם הודה, כי נשא אקדח הטעון במחסנית ריקה ובכיסו האחורי נמצאו 2 כדורים התואמים לאקדח.",['אקדח'],ME-13-10-53169-537
82,82,82,AMMU_AMOUNT_WEP,"הנאשם הודה, כי נשא אקדח הטעון במחסנית ריקה ובכיסו האחורי נמצאו 2 כדורים התואמים לאקדח.",['אקדח'],ME-13-10-53169-537
83,83,83,STATUS_WEP,"הנאשם הודה, כי נשא אקדח הטעון במחסנית ריקה ובכיסו האחורי נמצאו 2 כדורים התואמים לאקדח.",[],ME-13-10-53169-537
84,84,84,CONFESSION,"כמו כן, הודה הנאשם, כי החזיק מתחת לכיסא הנהג שברכבו שקית ובה 17 כדורי אקדח ומחסנית לאקדח.",[],ME-13-10-53169-537
85,85,85,TYPE_WEP,"כמו כן, הודה הנאשם, כי החזיק מתחת לכיסא הנהג שברכבו שקית ובה 17 כדורי אקדח ומחסנית לאקדח.",['כדורי'],ME-13-10-53169-537
86,86,86,AMMU_AMOUNT_WEP,"כמו כן, הודה הנאשם, כי החזיק מתחת לכיסא הנהג שברכבו שקית ובה 17 כדורי אקדח ומחסנית לאקדח.",['17'],ME-13-10-53169-537
87,87,87,CONFESSION,"על פי עובדות כתב האישום המתוקן בהן הודה הנאשם הוא ייצר סמוך לתאריך 4.1.14 מטען חבלה מצינור מתכת הסגור בשני צדדיו שבתוכו חומר נפיץ, פתיל ו-47 קליעי נק""ל, וזאת  באופן שתוכנן כך שיגרום למותו של אדם עם התפוצצותו.",['ייצר'],ME-14-03-48488-922
88,88,88,TYPE_WEP,"על פי עובדות כתב האישום המתוקן בהן הודה הנאשם הוא ייצר סמוך לתאריך 4.1.14 מטען חבלה מצינור מתכת הסגור בשני צדדיו שבתוכו חומר נפיץ, פתיל ו-47 קליעי נק""ל, וזאת  באופן שתוכנן כך שיגרום למותו של אדם עם התפוצצותו.",['מצינור מתכת'],ME-14-03-48488-922
89,89,89,AMMU_AMOUNT_WEP,"על פי עובדות כתב האישום המתוקן בהן הודה הנאשם הוא ייצר סמוך לתאריך 4.1.14 מטען חבלה מצינור מתכת הסגור בשני צדדיו שבתוכו חומר נפיץ, פתיל ו-47 קליעי נק""ל, וזאת  באופן שתוכנן כך שיגרום למותו של אדם עם התפוצצותו.",['47'],ME-14-03-48488-922
