text,reject,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CONFESSION,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,CONFESSION_LVL2,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"עוד טענה כי מקום ואופן החזקת שני האקדחים מעיד על סכנה בהם, ותמכה טענתה בעובדה כי אקדח ה""ברטה"" נמצא כשהוא עטוף בניילון בתוך ארון מטבח מעל הכיור עם מחסנית בפנים, וכי אקדח  ה""לאמה"" נמצא בחדר השינה במגירת השידה הצמודה למיטה, כשמספרוֹ הסידורי מחוּק.",,,,,,"['הנשקים המוזכרים בתיאור הם שני אקדחים: ""ברטה"" ו-""לאמה"" אקדח הוא כלי ירייה קטן יחסית, בעל קנה']",,,,"['בבית', 'סמוך לבית']",,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,,,,
"עוד טענה כי מדובר בכלי נשק קטלניים, והגישה חוות דעת מומחה, לפיה אקדח ה""ברטה"" ואקדח ה""לאמה"" שנמצאו, פועלים ובכוחם להמית.",,,,,,['אקדח'],,,,,,,,,,,,,,,
"ב""כ הנאשם, עו""ד עין צבי ס""צ, טען לעניין אקדח ה""לאמה"", כי נמצא כשהוא מפורק, ללא קנה, הקת שבורה וחלקים ממנו נמצאו בכספת שבחדר השינה.",,,,,,['אקדח'],,,,['בבית'],,,,['נשק מפורק'],[],,,,,,
"עמד על היות הנאשם אספן כלי נשק, אשר רכש את שני האקדחים בשוק הפשפשים כפריטי אספנות עתיקים, שיוצרו בראשית המאה העשרים: אקדח ה""לאמה"" - בשנת 1919 ואקדח ה""ברטה"" - בשנת 1923, כשתחמושתהּ - הופסק ייצורהּ עוד בשנת 1947.",,,,,,['אקדח'],,,,,,,,,['מאחר'],,,,,,
"עמד על היותו פעיל במועדוני קליעה בישראל, מזה כ-19 שנים, וכן בברית המועצות, טרם עלייתו, שם גם שירת בצבא והתנדב למשטרה.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"תיאר כי החזקת שני האקדחים ללא רישיון וללא שהשביתם, היתה חריגה יחסית לשישה כלי נשק אחרים שהחזיק ברישיון ולתריסר נוספים שהחזיק כמושבתים, ותמך דבריו באישורים מתאימים.",,,,,,['אקדח'],,,,,,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,,,,
"עמד על שיתוף הפעולה עם המשטרה, על הסכמתו לביצוע החיפוש בביתו, בגדרו לא הסתיר דבר.",,,,,,,,,,,,,,,,,,,,,
"עמד על הודייתו, על נטילת האחריות, החרטה וההודאה בטעות, על עברו הנקי ועל התנהגותו הנורמטיבית כעולה מהתסקיר.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,['לא'],,,,,,,,,,,,,,,,
הדגיש כי שני האקדחים אינם גנובים וכי לא נעשתה בהם פעילות עבריינית.,,,,,,,,,,,,,[],,,,,,,,
"ציין כי בענייננו לא קיים חשש להחזקת נשק ללא רישיון או אישור השבתה בידי מי שאינו מיומן בשימוש בו, הואיל הנאשם מיומן בכך, ואף מחזיק כדין כלי ירי רבים אחרים, ברישיון או באישור כי מושבתים הם, וכל חטאו הוא ששכח להשבית או לבקש רישיון עבור שני האקדחים.",,,,,,['אקדח'],,,,,,,,"['נשק מופרד מתחמושת', 'נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,,,,
"הצביע על חשש קונקרטי לפגיעה בעבודתו ובפרנסת משפחתו, שהוא מפרנסהּ העיקרי, בשל הודעת המעביד, ונוכח גילו - כבן 50, יקשה עליו למצוא עבודה חדשה אם יפוטר.",,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"מעבר לכך, אם יורשע – יימנע ממנו לעסוק בתחביבו רב השנים בתחום כלי נשק, ובכך ייגרם לו עוול משמעותי, אשר יעלה על הפגיעה באינטרס הציבורי.",,,"['1 : כן', '2 : לא', '3 : כן', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"הנאשם בדיון הביע צער וחרטה, והדגיש כי לא ראה באקדחים הישנים כלי יריה המצריכים רישיון, אלא פריטי אספנות גרידא.",,,,,['לא'],,,,,,,,,,,,,,,,
"נקבע כי חרף עברו הנקי, גילו הצעיר, ומצבו המשפחתי הקשה, חומרת העבירה מצדיקה מאסר בפועל.",,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"שם נדחה ערעור על חומרת העונש שנגזר על מי שהורשע בהחזקת נשק שלא כדין ובהחזקת נכס החשוד כגנוב - אקדח, שתי מחסניות ותחמושת - ושנדון ל-24 חודשי מאסר ו-12 חודשים מאסר על-תנאי.",,,,,,,,,,,,,,,,,,,[],['12 חודשי מאסר על תנאי'],[]
"הלה היה בעל עבר פלילי, ובכללו עבירת חבלה חמורה בנסיבות מחמירות תוך שימוש בנשק חם, בגינה ריצה עונש מאסר ממושך.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,,,,,,,,,,,,,,,,,
"שם הוחמר עונשו של מי שהורשע בהחזקת נשק שלא כדין – אקדח, מחסנית ותחמושת, ובהפרעה לשוטר במילוי תפקידו, ולו הרשעות קודמות, והוטלו שנתיים מאסר בפועל ושנה מאסר על תנאי.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,['שנתיים מאסר בפועל'],['הנאשם קיבל שנה אחת של מאסר על תנאי'],[]
"בשונה לחומרה מענייננו, שם דובר בבעל הרשעות קודמות, לרבות במעשה דומה של החזקת בלון גז משטרתי כשנתיים קודם, אך גם נלקחו בחשבון לקולא נסיבותיו האישיות - היותו נשוי ומטופל בילדים קטנים ובהורים זקנים וחולים, ומצב כלכלי קשה.",,,"['1 : כן', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,,,
"ענייננו נבדל לקולא מחלק מהמקרים דלעיל, בכך שלנאשם דכאן עבר נקי, והתנהגות נורמטיבית ככלל כעולה מהתסקיר, לו רקע באיסוף ובשימוש ספורטיבי בכלי נשק כדין, התביעה הודתה כי לא ניתן לומר שבשני האקדחים נעשה שימוש למטרה פלילית, או שהם  נגנבו, הם לא הוחבאו בנסיבות מחשידות בתוך גרב תחת מיטה, ולא הותאם אליהם משתיק קול.",,,,,,"['הנשק המוזכר בחומר הוא ""שני אקדחים"", ולכן התשובה היא אקדח']",,,,,,,,,,,,,,,
"שם אין מדובר בהחזקת נשק קטלני, בעוד שכאן עסקינן בהחזקת שני כלי נשק קטלניים, שיש ביכולתם להמית.",,,,,,,,,,,,,,,,,,,,,
"לחומרה שקלתי את טיב העבירה וחומרתה, את ההחזקה שלא כדין של שני אקדחים שמישים וקטלניים, ובמיוחד את נסיבות החזקת אקדח ""ברטה"" עם מחסנית בפנים בשקית ניילון בארון המטבח, שזה ודאי אינו מקום שבשגרה מחזיק אספן את נשקיו.",,,,,,['אקדח'],,,,['בבית'],,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,,,,
"שקלתי את שהובא בפניי, כי לכל הנשקים האחרים רישיונות או אישורים לאי שמישותם, מה שמעמיד בספק את טענת ""השכחה"" אודות נסיבות החזקת שני הנשקים דנן, ומעלה חשד וחשש שמא הוחזקו למטרה שונה מאשר אספנות.",,,,,,,,,,,,,,,,,,,,,
"לקולא שקלתי את ההודיה והחיסכון בזמן שיפוטי; את החרטה ונטילת האחריות; את עברו הנקי והתנהגותו הנורמטיבית; את תנאי השחרור בערובה שלא הופרו; את העובדה כי מרבית כלי הנשק בביתו הוחזקו באישור השבתה או ברישיון; את הנסיבות האישיות – היותו מפרנס, לצד אשתו, של נער קטין; את הטענה בדבר חשש מפגיעה בעבודתו – שלא שוכנעתי בכנותה וכן לא הוכח בפניי כי לא יוכל להמשיך בה, ולו באופן חלקי, או להמשיך לעסוק במקצועו – ואת החשש מפגיעה בהמשך עיסוקו בתחביבו רב השנים בתחום כלי הירי.",,,"['1 : כן', '2 : כן', '3 : כן', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,['כן'],,,,,,,,,,,,,,,,
אם לא החמרתי עם הנאשם הרי זה בשל נטילת האחריות והחיסכון בזמן שיפוטי.,,,,,['לא'],,,,,,,,,,,,,,,,
"מאסר בפועל לתקופה שבין 5.5.10 ל-10.5.10, שבמהלכה שהה במעצר, וכן ארבעה חודשי מאסר בפועל לריצוי בדרך של עבודות שירות, שירוצו, בהסכמתו, לפי קביעת הממונה, בבית חולים שניידר שברחוב קפלן 14 בפתח תקווה, חמישה ימים בשבוע, 8.5 שעות עבודה יומיות, בפיקוח אני פרץ, טל' 050-6278541, החל מיום 2.6.2011.",,,,,,,,,,,,,,,,,,,['המאסר בפועל הוא 55 חודשים'],[],[]
"שישה חודשי מאסר על תנאי, אותם לא יישא אלא אם בתוך שלוש שנים מהיום יחזור ויעבור על העבירה בה הורשע, או כל עבירה הקשורה לנשק, סיוע או ניסיון לעוברה.",,,,,,,,,,,,,,,,,,,[],['הנאשם קיבל שישה חודשי מאסר על תנאי'],[]
"מוטל קנס בגובה 4,000 ₪ או ארבעה חודשי מאסר תחתיו; הקנס ישולם בארבעה תשלומים חודשיים שווים ורצופים, החל מיום 28.5.11, ואם לא יעמוד באחד התשלומים במועדו, תעמוד יתרת הקנס לפירעון מיידי.",,,,,,,,,,,,,,,,,,,[],[],"['4,000 ש""ח']"
"בנסיבות אלה, 3,000 ₪ יוחזרו למפקיד כבר בשלב זה ו-3,000 נותרים ישארו בתיק להבטחת ריצוי העונש עד תום.",,,,,,,,,,,,,,,,,,,,,
